2018-04-03 01:05:39.548055: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 01:05:39.548089: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 01:05:39.548095: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 01:05:39.548100: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 01:05:39.548104: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 01:05:41.134433: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: Tesla P100-SXM2-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.4805
pciBusID 0000:08:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
2018-04-03 01:05:41.134464: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2018-04-03 01:05:41.134470: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2018-04-03 01:05:41.134520: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-SXM2-16GB, pci bus id: 0000:08:00.0)
['S01', 'S02', 'S03', 'S04', 'S05']
['S01']
['S02']
Loading images  ../../dataset/*.jpeg ['S01', 'S02', 'S03', 'S04', 'S05']
Number of images: 31001
Number of rows: 256
Number of cols: 256
Dataset array size:  (31001, 256, 256, 1)
Loading images  ../../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
Loading images  ../../dataset/*.jpeg ['S02']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(31001, 256, 256, 1)
(6200, 256, 256, 1)
(6200, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45428.6016 | Layer 1 | Epoch 1  |
|          5000 |    37407.7969 | Layer 1 | Epoch 1  |
|         10000 |    32842.8672 | Layer 1 | Epoch 1  |
|         15000 |    29531.9180 | Layer 1 | Epoch 1  |
|         20000 |    27451.7695 | Layer 1 | Epoch 1  |
|         25000 |    24425.2109 | Layer 1 | Epoch 1  |
|         30000 |    24265.6797 | Layer 1 | Epoch 1  |
|         35000 |    23432.8281 | Layer 1 | Epoch 2  |
|         40000 |    20635.4961 | Layer 1 | Epoch 2  |
|         45000 |    23512.9863 | Layer 1 | Epoch 2  |
|         50000 |    24395.4883 | Layer 1 | Epoch 2  |
|         55000 |    24989.9844 | Layer 1 | Epoch 2  |
|         60000 |    20635.6758 | Layer 1 | Epoch 2  |
|         65000 |    20265.8203 | Layer 1 | Epoch 3  |
|         70000 |    25255.6230 | Layer 1 | Epoch 3  |
|         75000 |    19576.5371 | Layer 1 | Epoch 3  |
|         80000 |    18120.9668 | Layer 1 | Epoch 3  |
|         85000 |    18845.3262 | Layer 1 | Epoch 3  |
|         90000 |    24802.1172 | Layer 1 | Epoch 3  |
|         95000 |    19030.8750 | Layer 1 | Epoch 4  |
|        100000 |    18596.9688 | Layer 1 | Epoch 4  |
|        105000 |    17148.1426 | Layer 1 | Epoch 4  |
|        110000 |    17013.0078 | Layer 1 | Epoch 4  |
|        115000 |    18863.4043 | Layer 1 | Epoch 4  |
|        120000 |    21330.9023 | Layer 1 | Epoch 4  |
|        125000 |    19458.0430 | Layer 1 | Epoch 5  |
|        130000 |    17068.6504 | Layer 1 | Epoch 5  |
|        135000 |    22140.6562 | Layer 1 | Epoch 5  |
|        140000 |    17420.7383 | Layer 1 | Epoch 5  |
|        145000 |    16828.2305 | Layer 1 | Epoch 5  |
|        150000 |    18326.1973 | Layer 1 | Epoch 5  |
|        155000 |    17094.4805 | Layer 1 | Epoch 5  |
|        160000 |    18560.7988 | Layer 1 | Epoch 6  |
|        165000 |    16376.3379 | Layer 1 | Epoch 6  |
|        170000 |    22704.9668 | Layer 1 | Epoch 6  |
|        175000 |    18610.1367 | Layer 1 | Epoch 6  |
|        180000 |    16025.1211 | Layer 1 | Epoch 6  |
