2018-04-03 00:56:25.450759: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 00:56:25.450799: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 00:56:25.450820: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 00:56:25.450824: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 00:56:25.450828: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 00:56:27.775817: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: Tesla P100-SXM2-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.4805
pciBusID 0000:06:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
2018-04-03 00:56:27.775856: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2018-04-03 00:56:27.775862: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2018-04-03 00:56:27.775875: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-SXM2-16GB, pci bus id: 0000:06:00.0)
['S01', 'S02', 'S03', 'S04', 'S05']
['S01']
['S02']
Loading images  ../../dataset/*.jpeg ['S01', 'S02', 'S03', 'S04', 'S05']
Number of images: 31001
Number of rows: 256
Number of cols: 256
Dataset array size:  (31001, 256, 256, 1)
Loading images  ../../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
Loading images  ../../dataset/*.jpeg ['S02']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(31001, 256, 256, 1)
(6200, 256, 256, 1)
(6200, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    53875.4453 | Layer 1 | Epoch 1  |
|          5000 |    20520.9531 | Layer 1 | Epoch 1  |
|         10000 |    20437.9648 | Layer 1 | Epoch 1  |
|         15000 |    19623.7402 | Layer 1 | Epoch 1  |
|         20000 |    15426.5762 | Layer 1 | Epoch 1  |
|         25000 |    13565.4893 | Layer 1 | Epoch 1  |
|         30000 |    13767.7461 | Layer 1 | Epoch 1  |
|         35000 |    14842.5527 | Layer 1 | Epoch 2  |
|         40000 |    15890.7812 | Layer 1 | Epoch 2  |
|         45000 |    14151.6426 | Layer 1 | Epoch 2  |
|         50000 |    14526.6484 | Layer 1 | Epoch 2  |
|         55000 |    13595.6816 | Layer 1 | Epoch 2  |
|         60000 |    13865.9844 | Layer 1 | Epoch 2  |
|         65000 |    17207.0410 | Layer 1 | Epoch 3  |
|         70000 |    13499.3105 | Layer 1 | Epoch 3  |
|         75000 |    17302.9727 | Layer 1 | Epoch 3  |
|         80000 |    12228.9590 | Layer 1 | Epoch 3  |
|         85000 |    15245.4883 | Layer 1 | Epoch 3  |
|         90000 |    16491.1094 | Layer 1 | Epoch 3  |
|         95000 |    15698.5146 | Layer 1 | Epoch 4  |
|        100000 |    15816.5410 | Layer 1 | Epoch 4  |
|        105000 |    13220.6426 | Layer 1 | Epoch 4  |
|        110000 |    13582.2363 | Layer 1 | Epoch 4  |
|        115000 |    18289.9375 | Layer 1 | Epoch 4  |
|        120000 |    14101.7607 | Layer 1 | Epoch 4  |
|        125000 |    15641.2139 | Layer 1 | Epoch 5  |
|        130000 |    14320.6699 | Layer 1 | Epoch 5  |
|        135000 |    17549.4609 | Layer 1 | Epoch 5  |
|        140000 |    10160.3398 | Layer 1 | Epoch 5  |
|        145000 |    13719.9746 | Layer 1 | Epoch 5  |
|        150000 |    12804.3418 | Layer 1 | Epoch 5  |
|        155000 |    12431.6602 | Layer 1 | Epoch 5  |
|        160000 |    17880.1934 | Layer 1 | Epoch 6  |
|        165000 |    13143.3809 | Layer 1 | Epoch 6  |
|        170000 |    14323.4902 | Layer 1 | Epoch 6  |
|        175000 |    13658.7393 | Layer 1 | Epoch 6  |
|        180000 |    16900.2754 | Layer 1 | Epoch 6  |
