2018-04-03 00:51:27.662500: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 00:51:27.662541: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 00:51:27.662547: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 00:51:27.662551: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 00:51:27.662554: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2018-04-03 00:51:30.525344: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: Tesla P100-SXM2-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.4805
pciBusID 0000:04:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
2018-04-03 00:51:30.525376: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2018-04-03 00:51:30.525382: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2018-04-03 00:51:30.525389: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-SXM2-16GB, pci bus id: 0000:04:00.0)
['S01', 'S02', 'S03', 'S04', 'S05']
['S01']
['S02']
Loading images  ../../dataset/*.jpeg ['S01', 'S02', 'S03', 'S04', 'S05']
Number of images: 31001
Number of rows: 256
Number of cols: 256
Dataset array size:  (31001, 256, 256, 1)
Loading images  ../../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
Loading images  ../../dataset/*.jpeg ['S02']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(31001, 256, 256, 1)
(6200, 256, 256, 1)
(6200, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    53873.0703 | Layer 1 | Epoch 1  |
|          5000 |    20523.6191 | Layer 1 | Epoch 1  |
|         10000 |    20434.1836 | Layer 1 | Epoch 1  |
|         15000 |    19627.7109 | Layer 1 | Epoch 1  |
|         20000 |    17272.3633 | Layer 1 | Epoch 1  |
|         25000 |    16173.4395 | Layer 1 | Epoch 1  |
|         30000 |    17591.0527 | Layer 1 | Epoch 1  |
|         35000 |    13550.5586 | Layer 1 | Epoch 2  |
|         40000 |    14187.8516 | Layer 1 | Epoch 2  |
|         45000 |    14835.8848 | Layer 1 | Epoch 2  |
|         50000 |    12289.8818 | Layer 1 | Epoch 2  |
|         55000 |    15693.0508 | Layer 1 | Epoch 2  |
|         60000 |    15423.2031 | Layer 1 | Epoch 2  |
|         65000 |    19239.6504 | Layer 1 | Epoch 3  |
|         70000 |    20222.6562 | Layer 1 | Epoch 3  |
|         75000 |    19835.8047 | Layer 1 | Epoch 3  |
|         80000 |    14524.7031 | Layer 1 | Epoch 3  |
|         85000 |    14929.2676 | Layer 1 | Epoch 3  |
|         90000 |    16141.2285 | Layer 1 | Epoch 3  |
|         95000 |    14819.4209 | Layer 1 | Epoch 4  |
|        100000 |    14930.9102 | Layer 1 | Epoch 4  |
|        105000 |    14515.5195 | Layer 1 | Epoch 4  |
|        110000 |    16955.1172 | Layer 1 | Epoch 4  |
|        115000 |    12326.5898 | Layer 1 | Epoch 4  |
|        120000 |    16730.7695 | Layer 1 | Epoch 4  |
|        125000 |    13609.8125 | Layer 1 | Epoch 5  |
|        130000 |    13097.3457 | Layer 1 | Epoch 5  |
|        135000 |    14057.4502 | Layer 1 | Epoch 5  |
|        140000 |    20714.7031 | Layer 1 | Epoch 5  |
|        145000 |    16955.8828 | Layer 1 | Epoch 5  |
|        150000 |    14498.6143 | Layer 1 | Epoch 5  |
|        155000 |    24589.4297 | Layer 1 | Epoch 5  |
|        160000 |    12276.7646 | Layer 1 | Epoch 6  |
|        165000 |    17006.7441 | Layer 1 | Epoch 6  |
|        170000 |    12307.9150 | Layer 1 | Epoch 6  |
|        175000 |    21676.5312 | Layer 1 | Epoch 6  |
|        180000 |    13441.0967 | Layer 1 | Epoch 6  |
|        185000 |    13546.3535 | Layer 1 | Epoch 6  |
|        190000 |    12406.7461 | Layer 1 | Epoch 7  |
|        195000 |    17315.5137 | Layer 1 | Epoch 7  |
|        200000 |    15469.3887 | Layer 1 | Epoch 7  |
|        205000 |    18368.0430 | Layer 1 | Epoch 7  |
|        210000 |    12490.1152 | Layer 1 | Epoch 7  |
|        215000 |    13738.0234 | Layer 1 | Epoch 7  |
|        220000 |    13795.5781 | Layer 1 | Epoch 8  |
|        225000 |    15805.7578 | Layer 1 | Epoch 8  |
|        230000 |    13931.3301 | Layer 1 | Epoch 8  |
|        235000 |    15499.2852 | Layer 1 | Epoch 8  |
|        240000 |    19407.5508 | Layer 1 | Epoch 8  |
|        245000 |    19572.2012 | Layer 1 | Epoch 8  |
|        250000 |    16812.6230 | Layer 1 | Epoch 9  |
|        255000 |    14243.9531 | Layer 1 | Epoch 9  |
|        260000 |    14845.7891 | Layer 1 | Epoch 9  |
|        265000 |    13043.8965 | Layer 1 | Epoch 9  |
|        270000 |    18219.4023 | Layer 1 | Epoch 9  |
|        275000 |    12067.2227 | Layer 1 | Epoch 9  |
|        280000 |    14811.4727 | Layer 1 | Epoch 10  |
|        285000 |    17514.3633 | Layer 1 | Epoch 10  |
|        290000 |    13234.9766 | Layer 1 | Epoch 10  |
|        295000 |    15461.1055 | Layer 1 | Epoch 10  |
|        300000 |    10242.6104 | Layer 1 | Epoch 10  |
|        305000 |    14392.1113 | Layer 1 | Epoch 10  |
|        310000 |    12254.9102 | Layer 1 | Epoch 10  |
|        315000 |    18757.3398 | Layer 1 | Epoch 11  |
|        320000 |    13458.2002 | Layer 1 | Epoch 11  |
|        325000 |    15754.4941 | Layer 1 | Epoch 11  |
|        330000 |    14091.0176 | Layer 1 | Epoch 11  |
|        335000 |    17879.0664 | Layer 1 | Epoch 11  |
|        340000 |    20194.0078 | Layer 1 | Epoch 11  |
|        345000 |    11623.7412 | Layer 1 | Epoch 12  |
|        350000 |    21232.9062 | Layer 1 | Epoch 12  |
|        355000 |    14008.2100 | Layer 1 | Epoch 12  |
|        360000 |    17990.0605 | Layer 1 | Epoch 12  |
|        365000 |    13711.5527 | Layer 1 | Epoch 12  |
|        370000 |    15621.0957 | Layer 1 | Epoch 12  |
|        375000 |    19436.4297 | Layer 1 | Epoch 13  |
|        380000 |    15029.5742 | Layer 1 | Epoch 13  |
|        385000 |    14009.7012 | Layer 1 | Epoch 13  |
|        390000 |    16663.8105 | Layer 1 | Epoch 13  |
|        395000 |    12764.4590 | Layer 1 | Epoch 13  |
|        400000 |    17503.9414 | Layer 1 | Epoch 13  |
|        405000 |    16557.4043 | Layer 1 | Epoch 14  |
|        410000 |    14884.4121 | Layer 1 | Epoch 14  |
|        415000 |    15665.2148 | Layer 1 | Epoch 14  |
|        420000 |    15914.5625 | Layer 1 | Epoch 14  |
|        425000 |    18520.8066 | Layer 1 | Epoch 14  |
|        430000 |    16667.7441 | Layer 1 | Epoch 14  |
