I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.48GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01', 'S02', 'S03', 'S04', 'S05']
[]
[]
Loading images  ../dataset/*.jpeg ['S01', 'S02', 'S03', 'S04', 'S05']
Number of images: 31000
Number of rows: 256
Number of cols: 256
Dataset array size:  (31000, 256, 256, 1)
(15500, 256, 256, 1)
(7750, 256, 256, 1)
(7750, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45502.2500 | Layer 1 | Epoch 1  |
|           100 |    44199.5195 | Layer 1 | Epoch 1  |
|           200 |    42002.1133 | Layer 1 | Epoch 1  |
|           300 |    40317.8984 | Layer 1 | Epoch 1  |
|           400 |    39107.4883 | Layer 1 | Epoch 1  |
|           500 |    37989.9570 | Layer 1 | Epoch 1  |
|           600 |    37148.9141 | Layer 1 | Epoch 1  |
|           700 |    36306.0430 | Layer 1 | Epoch 1  |
|           800 |    35873.9180 | Layer 1 | Epoch 1  |
|           900 |    35318.4062 | Layer 1 | Epoch 1  |
|          1000 |    35007.9609 | Layer 1 | Epoch 1  |
|          1100 |    34648.5898 | Layer 1 | Epoch 1  |
|          1200 |    34445.6953 | Layer 1 | Epoch 1  |
|          1300 |    34054.4844 | Layer 1 | Epoch 1  |
|          1400 |    33684.4531 | Layer 1 | Epoch 1  |
|          1500 |    33464.9688 | Layer 1 | Epoch 1  |
|          1600 |    33341.7031 | Layer 1 | Epoch 1  |
|          1700 |    32916.2812 | Layer 1 | Epoch 1  |
|          1800 |    32734.7109 | Layer 1 | Epoch 1  |
|          1900 |    32909.2891 | Layer 1 | Epoch 1  |
|          2000 |    32376.1445 | Layer 1 | Epoch 1  |
|          2100 |    32821.4219 | Layer 1 | Epoch 1  |
|          2200 |    32244.6172 | Layer 1 | Epoch 1  |
|          2300 |    32018.6426 | Layer 1 | Epoch 1  |
|          2400 |    32066.3965 | Layer 1 | Epoch 1  |
|          2500 |    31689.2969 | Layer 1 | Epoch 1  |
|          2600 |    31579.5703 | Layer 1 | Epoch 1  |
|          2700 |    31511.9258 | Layer 1 | Epoch 1  |
|          2800 |    31669.8242 | Layer 1 | Epoch 1  |
|          2900 |    31495.1973 | Layer 1 | Epoch 1  |
|          3000 |    31214.1660 | Layer 1 | Epoch 1  |
|          3100 |    30932.0918 | Layer 1 | Epoch 1  |
|          3200 |    30866.6719 | Layer 1 | Epoch 1  |
|          3300 |    30797.3691 | Layer 1 | Epoch 1  |
|          3400 |    30691.8594 | Layer 1 | Epoch 1  |
|          3500 |    30692.4258 | Layer 1 | Epoch 1  |
|          3600 |    30600.0664 | Layer 1 | Epoch 1  |
|          3700 |    30580.1309 | Layer 1 | Epoch 1  |
|          3800 |    30453.4570 | Layer 1 | Epoch 1  |
|          3900 |    30233.9453 | Layer 1 | Epoch 1  |
|          4000 |    30376.4453 | Layer 1 | Epoch 1  |
|          4100 |    30183.1289 | Layer 1 | Epoch 1  |
|          4200 |    30000.5430 | Layer 1 | Epoch 1  |
|          4300 |    29949.0508 | Layer 1 | Epoch 1  |
|          4400 |    29820.6035 | Layer 1 | Epoch 1  |
|          4500 |    30009.6328 | Layer 1 | Epoch 1  |
|          4600 |    29632.1582 | Layer 1 | Epoch 1  |
|          4700 |    29820.6777 | Layer 1 | Epoch 1  |
|          4800 |    29791.9141 | Layer 1 | Epoch 1  |
|          4900 |    29579.6465 | Layer 1 | Epoch 1  |
|          5000 |    29160.5332 | Layer 1 | Epoch 1  |
|          5100 |    29296.9453 | Layer 1 | Epoch 1  |
|          5200 |    29307.7852 | Layer 1 | Epoch 1  |
|          5300 |    29225.4980 | Layer 1 | Epoch 1  |
|          5400 |    29109.6582 | Layer 1 | Epoch 1  |
|          5500 |    29353.6855 | Layer 1 | Epoch 1  |
|          5600 |    29070.7812 | Layer 1 | Epoch 1  |
|          5700 |    28851.5371 | Layer 1 | Epoch 1  |
|          5800 |    28775.4336 | Layer 1 | Epoch 1  |
