Wall time,Step,Value
1491443986.560704,800,35867.49609375
1491444305.212292,1700,32912.53515625
1491444433.432325,2100,32816.2421875
1491444543.434744,2400,32061.62109375
1491445576.157576,5600,29068.181640625
1491445607.909032,5700,28848.3828125
1491445673.009659,5900,28940.705078125
1491446026.524051,7000,28154.033203125
1491446413.939467,8200,27566.68359375
1491446445.709804,8300,27507.0703125
1491446672.48827,9000,27199.234375
1491446704.130601,9100,26848.67578125
1491447221.604842,10700,26316.716796875
1491447835.815015,12600,25377.873046875
1491448029.308267,13200,24970.71875
1491448353.815591,14200,25149.734375
1491449260.116184,17000,24233.66015625
1491449388.95986,17400,24070.125
1491449421.767087,17500,23876.890625
1491449842.567638,18800,23520.06640625
1491450036.025205,19400,23389.947265625
1491450716.259747,21500,23091.546875
1491450877.983999,22000,22906.65234375
1491451169.848297,22900,22554.09375
1491451396.120204,23600,22569.00390625
1491451428.892702,23700,22373.361328125
1491451752.602257,24700,22253.638671875
1491452302.711626,26400,21926.93359375
1491452658.893905,27500,21818.859375
1491453208.467197,29200,21325.39453125
1491453375.038671,29700,21193.04296875
1491453470.596559,30000,21601.865234375
1491453535.615043,30200,21341.009765625
1491453920.782338,31400,20934.61328125
1491454370.896043,32800,20958.5859375
1491454466.548281,33100,20678.326171875
1491454788.664892,34100,20587.033203125
1491455013.428641,34800,20998.806640625
1491455302.141047,35700,20814.2734375
1491455398.530516,36000,20586.943359375
1491455591.597243,36600,20865.568359375
1491455655.675755,36800,20491.30078125
1491455752.047715,37100,20154.642578125
1491455880.150684,37500,20476.54296875
1491456201.330101,38500,20183.44921875
1491456587.450608,39700,19880.431640625
1491456747.923953,40200,20018.234375
1491457036.372917,41100,20088.7734375
1491457486.271577,42500,20198.70703125
1491457679.111406,43100,19798.46484375
1491457775.553796,43400,19704.798828125
1491457903.5984,43800,19838.609375
1491458160.64548,44600,19656.08203125
1491458449.415672,45500,19870.90625
1491460087.805091,50600,19610.59765625
1491460312.222308,51300,19184.23046875
1491460344.735259,51400,19416.759765625
1491460440.359945,51700,19424.251953125
1491460633.276819,52300,19398.751953125
1491460665.71186,52400,19435.935546875
1491461147.099316,53900,19372.181640625
1491461500.232061,55000,19072.224609375
1491461531.714108,55100,18938.48046875
1491461564.182432,55200,18967.65234375
1491461595.744262,55300,18609.310546875
1491461917.445252,56300,18887.7109375
1491462238.506578,57300,18982.291015625
1491462366.47636,57700,19042.158203125
1491462463.069077,58000,19221.546875
1491462656.169402,58600,18918.013671875
1491462720.14498,58800,18552.068359375
1491462848.172771,59200,18802.453125
1491463169.407375,60200,18511.3515625
1491463555.569418,61400,18451.498046875
1491464004.958094,62800,18730.060546875
1491464294.631529,63700,18474.14453125
1491464679.699546,64900,18200.6640625
1491464936.842791,65700,18580.7890625
1491465000.843769,65900,18513.662109375
1491465033.324702,66000,18530.93359375
1491465130.043408,66300,18481.572265625
1491465290.979698,66800,18749.328125
1491465387.559556,67100,18863.033203125
1491465644.76344,67900,18851.85546875
1491465965.724364,68900,18336.396484375
1491466029.712717,69100,18596.87890625
1491466190.308231,69600,18256.81640625
1491466319.364573,70000,18437.01953125
1491466543.985708,70700,18318.00390625
1491467668.321267,74200,18407.919921875
1491467764.959646,74500,18315.462890625
1491467958.147831,75100,18643.724609375
1491468182.627608,75800,18402.048828125
1491468246.812821,76000,18457.56640625
1491468311.870939,76200,18060.85546875
1491469179.115445,78900,17925.95703125
1491469211.628425,79000,18225.625
1491469308.229321,79300,18266.529296875
1491469468.937642,79800,18018.76953125
1491469500.436802,79900,18088.01953125
1491469821.757609,80900,17642.740234375
1491469982.458257,81400,18161.6796875
1491470014.963337,81500,17983.013671875
1491470143.130386,81900,18016.8984375
1491470208.158559,82100,17924.208984375
1491470368.845451,82600,18180.759765625
1491470432.983024,82800,17585.109375
1491470529.491765,83100,17465.3828125
1491470850.854373,84100,17927.23828125
1491471108.018819,84900,17872.421875
1491471139.53344,85000,18017.03515625
1491471301.198036,85500,17838.125
1491471653.910565,86600,17774.58203125
1491471686.45903,86700,18041.6796875
1491471975.353232,87600,17997.84765625
1491472201.242582,88300,17778.66015625
1491472297.945013,88600,18051.173828125
1491472362.162175,88800,18354.400390625
1491472780.2283,90100,17887.50390625
1491472876.785955,90400,17967.708984375
1491473165.627966,91300,17891.025390625
1491473712.438054,93000,17918.203125
1491473840.542892,93400,17759.09375
1491474033.730412,94000,17962.50390625
1491475125.987561,97400,17719.240234375
1491475222.677753,97700,18027.021484375
1491475800.928107,99500,18065.10546875
1491476155.587615,100600,17527.90234375
