I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.59GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01', 'S02', 'S03', 'S04', 'S05']
[]
[]
Loading images  ../dataset/*.jpeg ['S01', 'S02', 'S03', 'S04', 'S05']
Number of images: 31000
Number of rows: 256
Number of cols: 256
Dataset array size:  (31000, 256, 256, 1)
(15500, 256, 256, 1)
(7750, 256, 256, 1)
(7750, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45510.1992 | Layer 1 | Epoch 1  |
|           100 |    44178.8633 | Layer 1 | Epoch 1  |
|           200 |    42054.4453 | Layer 1 | Epoch 1  |
|           300 |    40255.6250 | Layer 1 | Epoch 1  |
|           400 |    38884.2383 | Layer 1 | Epoch 1  |
|           500 |    37832.0703 | Layer 1 | Epoch 1  |
|           600 |    37044.9219 | Layer 1 | Epoch 1  |
|           700 |    36373.7969 | Layer 1 | Epoch 1  |
|           800 |    35779.6953 | Layer 1 | Epoch 1  |
|           900 |    35362.6211 | Layer 1 | Epoch 1  |
|          1000 |    35081.3477 | Layer 1 | Epoch 1  |
|          1100 |    34503.2617 | Layer 1 | Epoch 1  |
|          1200 |    34339.5156 | Layer 1 | Epoch 1  |
|          1300 |    34015.1328 | Layer 1 | Epoch 1  |
|          1400 |    33628.6836 | Layer 1 | Epoch 1  |
|          1500 |    33537.5156 | Layer 1 | Epoch 1  |
|          1600 |    33287.7930 | Layer 1 | Epoch 1  |
|          1700 |    33040.0234 | Layer 1 | Epoch 1  |
|          1800 |    32938.9180 | Layer 1 | Epoch 1  |
|          1900 |    33124.5664 | Layer 1 | Epoch 1  |
|          2000 |    32659.5312 | Layer 1 | Epoch 1  |
|          2100 |    32593.6680 | Layer 1 | Epoch 1  |
|          2200 |    32281.5879 | Layer 1 | Epoch 1  |
|          2300 |    32042.0996 | Layer 1 | Epoch 1  |
|          2400 |    31801.7188 | Layer 1 | Epoch 1  |
|          2500 |    31951.5801 | Layer 1 | Epoch 1  |
|          2600 |    32172.9883 | Layer 1 | Epoch 1  |
|          2700 |    31548.6426 | Layer 1 | Epoch 1  |
|          2800 |    31559.0859 | Layer 1 | Epoch 1  |
|          2900 |    31382.4180 | Layer 1 | Epoch 1  |
|          3000 |    31153.3340 | Layer 1 | Epoch 1  |
|          3100 |    31056.8730 | Layer 1 | Epoch 1  |
|          3200 |    30992.8926 | Layer 1 | Epoch 1  |
|          3300 |    30912.8809 | Layer 1 | Epoch 1  |
|          3400 |    30644.8008 | Layer 1 | Epoch 1  |
|          3500 |    30690.1172 | Layer 1 | Epoch 1  |
|          3600 |    30607.8359 | Layer 1 | Epoch 1  |
|          3700 |    30639.2227 | Layer 1 | Epoch 1  |
|          3800 |    30401.2207 | Layer 1 | Epoch 1  |
|          3900 |    30248.8320 | Layer 1 | Epoch 1  |
|          4000 |    30139.7910 | Layer 1 | Epoch 1  |
|          4100 |    30080.1445 | Layer 1 | Epoch 1  |
|          4200 |    30035.9570 | Layer 1 | Epoch 1  |
|          4300 |    29956.4629 | Layer 1 | Epoch 1  |
|          4400 |    29947.1621 | Layer 1 | Epoch 1  |
|          4500 |    29881.9180 | Layer 1 | Epoch 1  |
|          4600 |    29672.1562 | Layer 1 | Epoch 1  |
|          4700 |    29771.7695 | Layer 1 | Epoch 1  |
|          4800 |    29360.7031 | Layer 1 | Epoch 1  |
|          4900 |    29331.8711 | Layer 1 | Epoch 1  |
|          5000 |    29575.3516 | Layer 1 | Epoch 1  |
|          5100 |    29285.8574 | Layer 1 | Epoch 1  |
|          5200 |    29348.7559 | Layer 1 | Epoch 1  |
|          5300 |    29413.6504 | Layer 1 | Epoch 1  |
|          5400 |    29152.0312 | Layer 1 | Epoch 1  |
|          5500 |    29172.6504 | Layer 1 | Epoch 1  |
|          5600 |    28837.5469 | Layer 1 | Epoch 1  |
|          5700 |    29195.2305 | Layer 1 | Epoch 1  |
|          5800 |    28929.4199 | Layer 1 | Epoch 1  |
|          5900 |    28966.1738 | Layer 1 | Epoch 1  |
|          6000 |    28832.8457 | Layer 1 | Epoch 1  |
|          6100 |    28634.7988 | Layer 1 | Epoch 1  |
|          6200 |    28685.5273 | Layer 1 | Epoch 1  |
|          6300 |    28592.3633 | Layer 1 | Epoch 1  |
|          6400 |    28604.0645 | Layer 1 | Epoch 1  |
|          6500 |    28245.8711 | Layer 1 | Epoch 1  |
|          6600 |    28351.5449 | Layer 1 | Epoch 1  |
|          6700 |    28224.4336 | Layer 1 | Epoch 1  |
|          6800 |    28366.0039 | Layer 1 | Epoch 1  |
|          6900 |    28091.2773 | Layer 1 | Epoch 1  |
|          7000 |    28224.8477 | Layer 1 | Epoch 1  |
|          7100 |    28206.5547 | Layer 1 | Epoch 1  |
|          7200 |    28188.3438 | Layer 1 | Epoch 1  |
|          7300 |    28075.6133 | Layer 1 | Epoch 1  |
|          7400 |    27904.7363 | Layer 1 | Epoch 1  |
|          7500 |    27858.1250 | Layer 1 | Epoch 1  |
|          7600 |    27944.2344 | Layer 1 | Epoch 1  |
|          7700 |    27776.3633 | Layer 1 | Epoch 1  |
|          7800 |    27827.1328 | Layer 1 | Epoch 1  |
|          7900 |    27948.6914 | Layer 1 | Epoch 1  |
|          8000 |    27425.5723 | Layer 1 | Epoch 1  |
|          8100 |    27464.9160 | Layer 1 | Epoch 1  |
