I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.77GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01', 'S02', 'S03', 'S04', 'S05']
[]
[]
Loading images  ../dataset/*.jpeg ['S01', 'S02', 'S03', 'S04', 'S05']
Number of images: 31000
Number of rows: 256
Number of cols: 256
Dataset array size:  (31000, 256, 256, 1)
(15500, 256, 256, 1)
(7750, 256, 256, 1)
(7750, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45521.7812 | Layer 1 | Epoch 1  |
|           100 |    44132.9609 | Layer 1 | Epoch 1  |
|           200 |    42048.3984 | Layer 1 | Epoch 1  |
|           300 |    40226.2383 | Layer 1 | Epoch 1  |
|           400 |    38862.1523 | Layer 1 | Epoch 1  |
|           500 |    37853.9414 | Layer 1 | Epoch 1  |
|           600 |    37076.4453 | Layer 1 | Epoch 1  |
|           700 |    36564.3438 | Layer 1 | Epoch 1  |
|           800 |    35818.0742 | Layer 1 | Epoch 1  |
|           900 |    35405.1094 | Layer 1 | Epoch 1  |
|          1000 |    34938.3359 | Layer 1 | Epoch 1  |
|          1100 |    34625.1484 | Layer 1 | Epoch 1  |
|          1200 |    34238.4609 | Layer 1 | Epoch 1  |
|          1300 |    34205.1719 | Layer 1 | Epoch 1  |
|          1400 |    33840.7188 | Layer 1 | Epoch 1  |
|          1500 |    33242.8555 | Layer 1 | Epoch 1  |
|          1600 |    33630.8984 | Layer 1 | Epoch 1  |
|          1700 |    33117.5234 | Layer 1 | Epoch 1  |
|          1800 |    33070.7227 | Layer 1 | Epoch 1  |
|          1900 |    32722.4531 | Layer 1 | Epoch 1  |
|          2000 |    32524.6562 | Layer 1 | Epoch 1  |
|          2100 |    32583.1133 | Layer 1 | Epoch 1  |
|          2200 |    32174.3867 | Layer 1 | Epoch 1  |
|          2300 |    32462.6660 | Layer 1 | Epoch 1  |
|          2400 |    32034.8750 | Layer 1 | Epoch 1  |
|          2500 |    32153.3809 | Layer 1 | Epoch 1  |
|          2600 |    31760.8145 | Layer 1 | Epoch 1  |
|          2700 |    31388.3809 | Layer 1 | Epoch 1  |
|          2800 |    31683.1035 | Layer 1 | Epoch 1  |
|          2900 |    31469.6016 | Layer 1 | Epoch 1  |
|          3000 |    31424.9199 | Layer 1 | Epoch 1  |
|          3100 |    31125.3691 | Layer 1 | Epoch 1  |
|          3200 |    30988.8359 | Layer 1 | Epoch 1  |
|          3300 |    30838.7793 | Layer 1 | Epoch 1  |
|          3400 |    30769.9336 | Layer 1 | Epoch 1  |
|          3500 |    30561.1113 | Layer 1 | Epoch 1  |
|          3600 |    30962.2090 | Layer 1 | Epoch 1  |
|          3700 |    30401.1230 | Layer 1 | Epoch 1  |
|          3800 |    30667.7227 | Layer 1 | Epoch 1  |
|          3900 |    30403.1582 | Layer 1 | Epoch 1  |
