I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.77GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01', 'S02', 'S03', 'S04', 'S05']
[]
[]
Loading images  ../dataset/*.jpeg ['S01', 'S02', 'S03', 'S04', 'S05']
Number of images: 31000
Number of rows: 256
Number of cols: 256
Dataset array size:  (31000, 256, 256, 1)
(15500, 256, 256, 1)
(7750, 256, 256, 1)
(7750, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45500.8086 | Layer 1 | Epoch 1  |
|           100 |    44227.7578 | Layer 1 | Epoch 1  |
|           200 |    42054.7578 | Layer 1 | Epoch 1  |
|           300 |    40426.1406 | Layer 1 | Epoch 1  |
|           400 |    38961.1758 | Layer 1 | Epoch 1  |
|           500 |    37914.5352 | Layer 1 | Epoch 1  |
|           600 |    37143.8125 | Layer 1 | Epoch 1  |
|           700 |    36340.6016 | Layer 1 | Epoch 1  |
|           800 |    35578.9609 | Layer 1 | Epoch 1  |
|           900 |    35363.5000 | Layer 1 | Epoch 1  |
|          1000 |    34969.7305 | Layer 1 | Epoch 1  |
|          1100 |    34521.5742 | Layer 1 | Epoch 1  |
|          1200 |    34218.2539 | Layer 1 | Epoch 1  |
|          1300 |    34397.3828 | Layer 1 | Epoch 1  |
|          1400 |    33743.3906 | Layer 1 | Epoch 1  |
|          1500 |    33534.0117 | Layer 1 | Epoch 1  |
|          1600 |    33371.1523 | Layer 1 | Epoch 1  |
|          1700 |    33283.6641 | Layer 1 | Epoch 1  |
|          1800 |    32659.4570 | Layer 1 | Epoch 1  |
|          1900 |    32650.5469 | Layer 1 | Epoch 1  |
|          2000 |    32456.9961 | Layer 1 | Epoch 1  |
|          2100 |    32704.9863 | Layer 1 | Epoch 1  |
|          2200 |    32161.2266 | Layer 1 | Epoch 1  |
|          2300 |    32201.1816 | Layer 1 | Epoch 1  |
|          2400 |    31768.5430 | Layer 1 | Epoch 1  |
|          2500 |    31954.9492 | Layer 1 | Epoch 1  |
|          2600 |    31724.1328 | Layer 1 | Epoch 1  |
|          2700 |    31618.2148 | Layer 1 | Epoch 1  |
|          2800 |    31516.6133 | Layer 1 | Epoch 1  |
