I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.58GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01', 'S02', 'S03', 'S04', 'S05']
[]
[]
Loading images  ../dataset/*.jpeg ['S01', 'S02', 'S03', 'S04', 'S05']
Number of images: 31000
Number of rows: 256
Number of cols: 256
Dataset array size:  (31000, 256, 256, 1)
(15500, 256, 256, 1)
(7750, 256, 256, 1)
(7750, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45514.8633 | Layer 1 | Epoch 1  |
|           100 |    44238.9648 | Layer 1 | Epoch 1  |
|           200 |    42081.9609 | Layer 1 | Epoch 1  |
|           300 |    40235.6133 | Layer 1 | Epoch 1  |
|           400 |    38917.1562 | Layer 1 | Epoch 1  |
|           500 |    37992.8164 | Layer 1 | Epoch 1  |
|           600 |    37162.5664 | Layer 1 | Epoch 1  |
|           700 |    36251.0664 | Layer 1 | Epoch 1  |
|           800 |    36230.8555 | Layer 1 | Epoch 1  |
|           900 |    35369.0742 | Layer 1 | Epoch 1  |
|          1000 |    34880.8086 | Layer 1 | Epoch 1  |
|          1100 |    34577.8320 | Layer 1 | Epoch 1  |
|          1200 |    34392.2344 | Layer 1 | Epoch 1  |
|          1300 |    34170.3203 | Layer 1 | Epoch 1  |
|          1400 |    33525.2383 | Layer 1 | Epoch 1  |
|          1500 |    33678.4297 | Layer 1 | Epoch 1  |
|          1600 |    33560.1367 | Layer 1 | Epoch 1  |
|          1700 |    33036.0352 | Layer 1 | Epoch 1  |
|          1800 |    33070.2891 | Layer 1 | Epoch 1  |
|          1900 |    32983.8203 | Layer 1 | Epoch 1  |
|          2000 |    32780.7695 | Layer 1 | Epoch 1  |
|          2100 |    32363.8750 | Layer 1 | Epoch 1  |
|          2200 |    32137.7852 | Layer 1 | Epoch 1  |
|          2300 |    32161.1328 | Layer 1 | Epoch 1  |
|          2400 |    32091.4648 | Layer 1 | Epoch 1  |
|          2500 |    31937.0391 | Layer 1 | Epoch 1  |
|          2600 |    31806.0918 | Layer 1 | Epoch 1  |
|          2700 |    31595.1445 | Layer 1 | Epoch 1  |
|          2800 |    31851.6855 | Layer 1 | Epoch 1  |
|          2900 |    31091.5098 | Layer 1 | Epoch 1  |
|          3000 |    31172.7402 | Layer 1 | Epoch 1  |
|          3100 |    31120.4453 | Layer 1 | Epoch 1  |
|          3200 |    31291.2598 | Layer 1 | Epoch 1  |
|          3300 |    30745.1562 | Layer 1 | Epoch 1  |
|          3400 |    30734.9180 | Layer 1 | Epoch 1  |
|          3500 |    31056.3477 | Layer 1 | Epoch 1  |
|          3600 |    30818.4160 | Layer 1 | Epoch 1  |
|          3700 |    30493.7266 | Layer 1 | Epoch 1  |
|          3800 |    30260.9629 | Layer 1 | Epoch 1  |
|          3900 |    30393.2988 | Layer 1 | Epoch 1  |
|          4000 |    30169.5215 | Layer 1 | Epoch 1  |
