I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:03:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:03:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45449.6758 | Layer 1 | Epoch 1  |
|           100 |    44925.3203 | Layer 1 | Epoch 1  |
|           200 |    44098.8438 | Layer 1 | Epoch 1  |
|           300 |    43293.1406 | Layer 1 | Epoch 1  |
|           400 |    42550.2188 | Layer 1 | Epoch 1  |
|           500 |    41891.8594 | Layer 1 | Epoch 1  |
|           600 |    41176.3242 | Layer 1 | Epoch 1  |
|           700 |    40562.0000 | Layer 1 | Epoch 1  |
|           800 |    40145.7539 | Layer 1 | Epoch 1  |
|           900 |    39595.0742 | Layer 1 | Epoch 1  |
|          1000 |    39045.4258 | Layer 1 | Epoch 1  |
|          1100 |    38666.5195 | Layer 1 | Epoch 1  |
|          1200 |    38319.5469 | Layer 1 | Epoch 1  |
|          1300 |    38017.0898 | Layer 1 | Epoch 1  |
|          1400 |    37419.5156 | Layer 1 | Epoch 1  |
|          1500 |    37215.0703 | Layer 1 | Epoch 1  |
|          1600 |    36919.0781 | Layer 1 | Epoch 1  |
|          1700 |    36378.6836 | Layer 1 | Epoch 1  |
|          1800 |    36156.3789 | Layer 1 | Epoch 1  |
|          1900 |    35861.5938 | Layer 1 | Epoch 1  |
|          2000 |    35761.3164 | Layer 1 | Epoch 1  |
|          2100 |    35586.1875 | Layer 1 | Epoch 1  |
|          2200 |    35128.6602 | Layer 1 | Epoch 1  |
|          2300 |    34942.3594 | Layer 1 | Epoch 1  |
|          2400 |    34533.9062 | Layer 1 | Epoch 1  |
|          2500 |    34765.8828 | Layer 1 | Epoch 1  |
|          2600 |    34452.0742 | Layer 1 | Epoch 1  |
|          2700 |    34093.7109 | Layer 1 | Epoch 1  |
|          2800 |    33833.6484 | Layer 1 | Epoch 1  |
|          2900 |    33949.8242 | Layer 1 | Epoch 1  |
|          3000 |    33618.7695 | Layer 1 | Epoch 1  |
|          3100 |    33319.6172 | Layer 1 | Epoch 2  |
|          3200 |    33401.9922 | Layer 1 | Epoch 2  |
|          3300 |    33179.0742 | Layer 1 | Epoch 2  |
|          3400 |    33033.3281 | Layer 1 | Epoch 2  |
|          3500 |    32931.9023 | Layer 1 | Epoch 2  |
|          3600 |    32656.0781 | Layer 1 | Epoch 2  |
|          3700 |    32597.2969 | Layer 1 | Epoch 2  |
|          3800 |    32328.3535 | Layer 1 | Epoch 2  |
|          3900 |    32271.8223 | Layer 1 | Epoch 2  |
|          4000 |    32210.1152 | Layer 1 | Epoch 2  |
|          4100 |    32064.5859 | Layer 1 | Epoch 2  |
|          4200 |    32248.9727 | Layer 1 | Epoch 2  |
|          4300 |    31779.9648 | Layer 1 | Epoch 2  |
|          4400 |    31913.7578 | Layer 1 | Epoch 2  |
|          4500 |    31818.6406 | Layer 1 | Epoch 2  |
|          4600 |    31608.8691 | Layer 1 | Epoch 2  |
|          4700 |    31437.9492 | Layer 1 | Epoch 2  |
|          4800 |    31408.8242 | Layer 1 | Epoch 2  |
|          4900 |    31228.5957 | Layer 1 | Epoch 2  |
|          5000 |    31284.6367 | Layer 1 | Epoch 2  |
|          5100 |    31085.3203 | Layer 1 | Epoch 2  |
|          5200 |    31217.9844 | Layer 1 | Epoch 2  |
|          5300 |    31046.7656 | Layer 1 | Epoch 2  |
|          5400 |    30813.5566 | Layer 1 | Epoch 2  |
|          5500 |    30626.1309 | Layer 1 | Epoch 2  |
|          5600 |    30730.9453 | Layer 1 | Epoch 2  |
|          5700 |    30682.2539 | Layer 1 | Epoch 2  |
|          5800 |    30817.0879 | Layer 1 | Epoch 2  |
|          5900 |    30443.9590 | Layer 1 | Epoch 2  |
|          6000 |    30337.6523 | Layer 1 | Epoch 2  |
|          6100 |    30787.7520 | Layer 1 | Epoch 2  |
|          6200 |    30281.1855 | Layer 1 | Epoch 3  |
|          6300 |    30318.9922 | Layer 1 | Epoch 3  |
|          6400 |    30211.8672 | Layer 1 | Epoch 3  |
|          6500 |    30217.0703 | Layer 1 | Epoch 3  |
|          6600 |    29923.2188 | Layer 1 | Epoch 3  |
|          6700 |    30157.5293 | Layer 1 | Epoch 3  |
|          6800 |    29850.4629 | Layer 1 | Epoch 3  |
|          6900 |    30251.9434 | Layer 1 | Epoch 3  |
|          7000 |    29808.7617 | Layer 1 | Epoch 3  |
|          7100 |    29490.5996 | Layer 1 | Epoch 3  |
|          7200 |    29634.7832 | Layer 1 | Epoch 3  |
|          7300 |    29690.4727 | Layer 1 | Epoch 3  |
|          7400 |    29534.0664 | Layer 1 | Epoch 3  |
|          7500 |    29596.2422 | Layer 1 | Epoch 3  |
|          7600 |    29276.2812 | Layer 1 | Epoch 3  |
|          7700 |    29535.7246 | Layer 1 | Epoch 3  |
|          7800 |    29247.5391 | Layer 1 | Epoch 3  |
|          7900 |    29065.0391 | Layer 1 | Epoch 3  |
|          8000 |    29030.0430 | Layer 1 | Epoch 3  |
|          8100 |    29260.7832 | Layer 1 | Epoch 3  |
|          8200 |    29281.5469 | Layer 1 | Epoch 3  |
|          8300 |    28896.7695 | Layer 1 | Epoch 3  |
|          8400 |    28729.9648 | Layer 1 | Epoch 3  |
|          8500 |    28812.1562 | Layer 1 | Epoch 3  |
|          8600 |    28750.7441 | Layer 1 | Epoch 3  |
|          8700 |    28755.8711 | Layer 1 | Epoch 3  |
|          8800 |    28619.2266 | Layer 1 | Epoch 3  |
|          8900 |    28727.7461 | Layer 1 | Epoch 3  |
|          9000 |    28616.6191 | Layer 1 | Epoch 3  |
|          9100 |    28457.8691 | Layer 1 | Epoch 3  |
|          9200 |    28899.8789 | Layer 1 | Epoch 3  |
|          9300 |    28239.1426 | Layer 1 | Epoch 4  |
|          9400 |    28448.7344 | Layer 1 | Epoch 4  |
|          9500 |    28355.1465 | Layer 1 | Epoch 4  |
|          9600 |    28346.9258 | Layer 1 | Epoch 4  |
|          9700 |    28225.0977 | Layer 1 | Epoch 4  |
|          9800 |    28236.5254 | Layer 1 | Epoch 4  |
|          9900 |    28246.7598 | Layer 1 | Epoch 4  |
|         10000 |    27766.5137 | Layer 1 | Epoch 4  |
|         10100 |    28482.3184 | Layer 1 | Epoch 4  |
|         10200 |    28003.7676 | Layer 1 | Epoch 4  |
|         10300 |    28011.5078 | Layer 1 | Epoch 4  |
|         10400 |    28212.7305 | Layer 1 | Epoch 4  |
|         10500 |    27873.3379 | Layer 1 | Epoch 4  |
|         10600 |    28022.5977 | Layer 1 | Epoch 4  |
|         10700 |    27806.8398 | Layer 1 | Epoch 4  |
|         10800 |    27759.9648 | Layer 1 | Epoch 4  |
|         10900 |    27641.5840 | Layer 1 | Epoch 4  |
|         11000 |    27732.3379 | Layer 1 | Epoch 4  |
|         11100 |    27520.6367 | Layer 1 | Epoch 4  |
|         11200 |    27775.3750 | Layer 1 | Epoch 4  |
|         11300 |    27614.6191 | Layer 1 | Epoch 4  |
|         11400 |    27591.5312 | Layer 1 | Epoch 4  |
|         11500 |    27680.9121 | Layer 1 | Epoch 4  |
|         11600 |    27522.7930 | Layer 1 | Epoch 4  |
|         11700 |    27378.9180 | Layer 1 | Epoch 4  |
|         11800 |    27414.8262 | Layer 1 | Epoch 4  |
|         11900 |    27183.9746 | Layer 1 | Epoch 4  |
|         12000 |    27166.1855 | Layer 1 | Epoch 4  |
|         12100 |    27205.1484 | Layer 1 | Epoch 4  |
|         12200 |    26932.4004 | Layer 1 | Epoch 4  |
|         12300 |    27177.1309 | Layer 1 | Epoch 4  |
|         12400 |    26943.8398 | Layer 1 | Epoch 5  |
|         12500 |    27175.2832 | Layer 1 | Epoch 5  |
|         12600 |    27187.2227 | Layer 1 | Epoch 5  |
|         12700 |    26866.4414 | Layer 1 | Epoch 5  |
|         12800 |    26927.6055 | Layer 1 | Epoch 5  |
|         12900 |    26812.2910 | Layer 1 | Epoch 5  |
|         13000 |    26925.3262 | Layer 1 | Epoch 5  |
|         13100 |    27337.3789 | Layer 1 | Epoch 5  |
|         13200 |    26765.5469 | Layer 1 | Epoch 5  |
|         13300 |    26958.6836 | Layer 1 | Epoch 5  |
|         13400 |    26743.2773 | Layer 1 | Epoch 5  |
|         13500 |    26641.6602 | Layer 1 | Epoch 5  |
|         13600 |    26692.6484 | Layer 1 | Epoch 5  |
|         13700 |    26385.4785 | Layer 1 | Epoch 5  |
|         13800 |    26427.9395 | Layer 1 | Epoch 5  |
|         13900 |    26450.4199 | Layer 1 | Epoch 5  |
|         14000 |    26793.1484 | Layer 1 | Epoch 5  |
|         14100 |    26538.0586 | Layer 1 | Epoch 5  |
|         14200 |    26455.2422 | Layer 1 | Epoch 5  |
|         14300 |    26402.5215 | Layer 1 | Epoch 5  |
|         14400 |    26414.0156 | Layer 1 | Epoch 5  |
|         14500 |    26322.4492 | Layer 1 | Epoch 5  |
|         14600 |    26612.9141 | Layer 1 | Epoch 5  |
|         14700 |    26422.2188 | Layer 1 | Epoch 5  |
|         14800 |    26129.1602 | Layer 1 | Epoch 5  |
|         14900 |    26383.2910 | Layer 1 | Epoch 5  |
|         15000 |    26009.9922 | Layer 1 | Epoch 5  |
|         15100 |    25995.3359 | Layer 1 | Epoch 5  |
|         15200 |    26373.0137 | Layer 1 | Epoch 5  |
|         15300 |    26066.3750 | Layer 1 | Epoch 5  |
|         15400 |    26046.7891 | Layer 1 | Epoch 5  |
|         15500 |    26229.9629 | Layer 1 | Epoch 6  |
|         15600 |    25633.2148 | Layer 1 | Epoch 6  |
|         15700 |    25762.0898 | Layer 1 | Epoch 6  |
|         15800 |    25853.8984 | Layer 1 | Epoch 6  |
|         15900 |    26060.0508 | Layer 1 | Epoch 6  |
|         16000 |    25334.3242 | Layer 1 | Epoch 6  |
|         16100 |    25756.0430 | Layer 1 | Epoch 6  |
|         16200 |    25713.4316 | Layer 1 | Epoch 6  |
|         16300 |    25685.5723 | Layer 1 | Epoch 6  |
|         16400 |    25802.0117 | Layer 1 | Epoch 6  |
|         16500 |    25515.5352 | Layer 1 | Epoch 6  |
|         16600 |    25597.9902 | Layer 1 | Epoch 6  |
|         16700 |    25883.5547 | Layer 1 | Epoch 6  |
|         16800 |    25532.8359 | Layer 1 | Epoch 6  |
|         16900 |    25578.8398 | Layer 1 | Epoch 6  |
|         17000 |    25345.2402 | Layer 1 | Epoch 6  |
|         17100 |    25737.6992 | Layer 1 | Epoch 6  |
|         17200 |    25419.0586 | Layer 1 | Epoch 6  |
|         17300 |    25227.1758 | Layer 1 | Epoch 6  |
|         17400 |    25073.1973 | Layer 1 | Epoch 6  |
|         17500 |    25370.2539 | Layer 1 | Epoch 6  |
|         17600 |    25245.9395 | Layer 1 | Epoch 6  |
|         17700 |    25288.3164 | Layer 1 | Epoch 6  |
|         17800 |    25449.0410 | Layer 1 | Epoch 6  |
|         17900 |    25471.9570 | Layer 1 | Epoch 6  |
|         18000 |    25303.4453 | Layer 1 | Epoch 6  |
|         18100 |    25206.0723 | Layer 1 | Epoch 6  |
|         18200 |    25384.1445 | Layer 1 | Epoch 6  |
|         18300 |    25390.0156 | Layer 1 | Epoch 6  |
|         18400 |    25290.4961 | Layer 1 | Epoch 6  |
|         18500 |    25000.6875 | Layer 1 | Epoch 6  |
|         18600 |    24868.8262 | Layer 1 | Epoch 7  |
|         18700 |    25018.4531 | Layer 1 | Epoch 7  |
|         18800 |    25357.6328 | Layer 1 | Epoch 7  |
|         18900 |    25208.9512 | Layer 1 | Epoch 7  |
|         19000 |    25138.6191 | Layer 1 | Epoch 7  |
|         19100 |    24975.8086 | Layer 1 | Epoch 7  |
|         19200 |    24891.1543 | Layer 1 | Epoch 7  |
|         19300 |    25239.5801 | Layer 1 | Epoch 7  |
|         19400 |    24848.7383 | Layer 1 | Epoch 7  |
|         19500 |    25042.3086 | Layer 1 | Epoch 7  |
|         19600 |    24768.1406 | Layer 1 | Epoch 7  |
|         19700 |    24679.1953 | Layer 1 | Epoch 7  |
|         19800 |    24626.2480 | Layer 1 | Epoch 7  |
|         19900 |    25144.6055 | Layer 1 | Epoch 7  |
|         20000 |    24838.1035 | Layer 1 | Epoch 7  |
|         20100 |    24791.8398 | Layer 1 | Epoch 7  |
|         20200 |    25032.8906 | Layer 1 | Epoch 7  |
|         20300 |    24464.4629 | Layer 1 | Epoch 7  |
|         20400 |    24930.6641 | Layer 1 | Epoch 7  |
|         20500 |    24589.8242 | Layer 1 | Epoch 7  |
|         20600 |    24288.9258 | Layer 1 | Epoch 7  |
|         20700 |    24506.7539 | Layer 1 | Epoch 7  |
|         20800 |    24395.1328 | Layer 1 | Epoch 7  |
|         20900 |    24497.0938 | Layer 1 | Epoch 7  |
|         21000 |    24285.1602 | Layer 1 | Epoch 7  |
|         21100 |    24393.1582 | Layer 1 | Epoch 7  |
|         21200 |    24411.1738 | Layer 1 | Epoch 7  |
|         21300 |    24220.2012 | Layer 1 | Epoch 7  |
|         21400 |    24504.7598 | Layer 1 | Epoch 7  |
|         21500 |    24309.2227 | Layer 1 | Epoch 7  |
|         21600 |    24428.2891 | Layer 1 | Epoch 7  |
|         21700 |    24402.3359 | Layer 1 | Epoch 8  |
|         21800 |    24213.5020 | Layer 1 | Epoch 8  |
|         21900 |    24269.7402 | Layer 1 | Epoch 8  |
|         22000 |    24226.9258 | Layer 1 | Epoch 8  |
|         22100 |    24001.0586 | Layer 1 | Epoch 8  |
|         22200 |    24362.5254 | Layer 1 | Epoch 8  |
|         22300 |    24271.0859 | Layer 1 | Epoch 8  |
|         22400 |    24125.9355 | Layer 1 | Epoch 8  |
|         22500 |    24340.7812 | Layer 1 | Epoch 8  |
|         22600 |    24089.6641 | Layer 1 | Epoch 8  |
|         22700 |    24102.0371 | Layer 1 | Epoch 8  |
|         22800 |    24024.7891 | Layer 1 | Epoch 8  |
|         22900 |    24219.6289 | Layer 1 | Epoch 8  |
|         23000 |    24055.8750 | Layer 1 | Epoch 8  |
|         23100 |    24116.3242 | Layer 1 | Epoch 8  |
|         23200 |    24043.3027 | Layer 1 | Epoch 8  |
|         23300 |    24190.7812 | Layer 1 | Epoch 8  |
|         23400 |    24095.5020 | Layer 1 | Epoch 8  |
|         23500 |    24099.3984 | Layer 1 | Epoch 8  |
|         23600 |    24142.8477 | Layer 1 | Epoch 8  |
|         23700 |    24064.6348 | Layer 1 | Epoch 8  |
|         23800 |    24032.7773 | Layer 1 | Epoch 8  |
|         23900 |    24134.9355 | Layer 1 | Epoch 8  |
|         24000 |    24093.1348 | Layer 1 | Epoch 8  |
|         24100 |    23847.2578 | Layer 1 | Epoch 8  |
|         24200 |    23846.3477 | Layer 1 | Epoch 8  |
|         24300 |    23912.4785 | Layer 1 | Epoch 8  |
|         24400 |    23636.0137 | Layer 1 | Epoch 8  |
|         24500 |    23940.7383 | Layer 1 | Epoch 8  |
|         24600 |    23620.6309 | Layer 1 | Epoch 8  |
|         24700 |    23848.7188 | Layer 1 | Epoch 8  |
|         24800 |    23712.8301 | Layer 1 | Epoch 9  |
|         24900 |    23883.8887 | Layer 1 | Epoch 9  |
|         25000 |    23931.3418 | Layer 1 | Epoch 9  |
|         25100 |    23573.5898 | Layer 1 | Epoch 9  |
|         25200 |    23495.8125 | Layer 1 | Epoch 9  |
|         25300 |    23638.4727 | Layer 1 | Epoch 9  |
