I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:03:00.0
Total memory: 15.89GiB
Free memory: 714.25MiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x33da4f0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 714.25MiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45460.4531 | Layer 1 | Epoch 1  |
|           100 |    44595.6250 | Layer 1 | Epoch 1  |
|           200 |    43148.8789 | Layer 1 | Epoch 1  |
|           300 |    41889.8867 | Layer 1 | Epoch 1  |
|           400 |    40818.1602 | Layer 1 | Epoch 1  |
|           500 |    39785.0547 | Layer 1 | Epoch 1  |
|           600 |    39185.3516 | Layer 1 | Epoch 1  |
|           700 |    38299.2617 | Layer 1 | Epoch 1  |
|           800 |    37581.0156 | Layer 1 | Epoch 1  |
|           900 |    37091.1328 | Layer 1 | Epoch 1  |
|          1000 |    36646.5000 | Layer 1 | Epoch 1  |
|          1100 |    36110.4102 | Layer 1 | Epoch 1  |
|          1200 |    35657.6875 | Layer 1 | Epoch 1  |
|          1300 |    35117.7773 | Layer 1 | Epoch 1  |
|          1400 |    35002.4883 | Layer 1 | Epoch 1  |
|          1500 |    34645.1992 | Layer 1 | Epoch 1  |
|          1600 |    34455.1328 | Layer 1 | Epoch 1  |
|          1700 |    34044.4492 | Layer 1 | Epoch 1  |
|          1800 |    33915.1641 | Layer 1 | Epoch 1  |
|          1900 |    33664.5234 | Layer 1 | Epoch 1  |
|          2000 |    33510.5117 | Layer 1 | Epoch 1  |
|          2100 |    33149.2422 | Layer 1 | Epoch 1  |
|          2200 |    33362.1680 | Layer 1 | Epoch 1  |
|          2300 |    33126.1367 | Layer 1 | Epoch 1  |
|          2400 |    32778.9062 | Layer 1 | Epoch 1  |
|          2500 |    32648.7891 | Layer 1 | Epoch 1  |
|          2600 |    32597.3223 | Layer 1 | Epoch 1  |
|          2700 |    32531.7402 | Layer 1 | Epoch 1  |
|          2800 |    32066.6445 | Layer 1 | Epoch 1  |
|          2900 |    31897.5859 | Layer 1 | Epoch 1  |
|          3000 |    31747.9746 | Layer 1 | Epoch 1  |
|          3100 |    31896.4004 | Layer 1 | Epoch 2  |
|          3200 |    31298.4668 | Layer 1 | Epoch 2  |
|          3300 |    31734.6777 | Layer 1 | Epoch 2  |
|          3400 |    31140.5332 | Layer 1 | Epoch 2  |
|          3500 |    31270.4609 | Layer 1 | Epoch 2  |
|          3600 |    31073.3887 | Layer 1 | Epoch 2  |
|          3700 |    31101.0996 | Layer 1 | Epoch 2  |
|          3800 |    30707.2891 | Layer 1 | Epoch 2  |
|          3900 |    30915.6797 | Layer 1 | Epoch 2  |
|          4000 |    30804.2656 | Layer 1 | Epoch 2  |
|          4100 |    30596.3086 | Layer 1 | Epoch 2  |
|          4200 |    30739.7480 | Layer 1 | Epoch 2  |
|          4300 |    30462.7812 | Layer 1 | Epoch 2  |
|          4400 |    30561.0723 | Layer 1 | Epoch 2  |
|          4500 |    30350.7227 | Layer 1 | Epoch 2  |
|          4600 |    30203.8965 | Layer 1 | Epoch 2  |
|          4700 |    30022.7129 | Layer 1 | Epoch 2  |
|          4800 |    29715.3184 | Layer 1 | Epoch 2  |
|          4900 |    30067.3535 | Layer 1 | Epoch 2  |
|          5000 |    29983.4082 | Layer 1 | Epoch 2  |
|          5100 |    29937.4922 | Layer 1 | Epoch 2  |
|          5200 |    29493.2949 | Layer 1 | Epoch 2  |
|          5300 |    29582.9355 | Layer 1 | Epoch 2  |
|          5400 |    29688.3047 | Layer 1 | Epoch 2  |
|          5500 |    29546.9199 | Layer 1 | Epoch 2  |
|          5600 |    29517.3516 | Layer 1 | Epoch 2  |
|          5700 |    29156.9199 | Layer 1 | Epoch 2  |
|          5800 |    29143.3613 | Layer 1 | Epoch 2  |
|          5900 |    29307.8457 | Layer 1 | Epoch 2  |
|          6000 |    29211.8945 | Layer 1 | Epoch 2  |
|          6100 |    29061.1465 | Layer 1 | Epoch 2  |
|          6200 |    28642.6289 | Layer 1 | Epoch 3  |
|          6300 |    28775.3613 | Layer 1 | Epoch 3  |
|          6400 |    29357.4316 | Layer 1 | Epoch 3  |
|          6500 |    28957.1797 | Layer 1 | Epoch 3  |
|          6600 |    28799.3848 | Layer 1 | Epoch 3  |
|          6700 |    28645.7441 | Layer 1 | Epoch 3  |
|          6800 |    28586.4492 | Layer 1 | Epoch 3  |
|          6900 |    28654.3086 | Layer 1 | Epoch 3  |
|          7000 |    28502.1855 | Layer 1 | Epoch 3  |
|          7100 |    28711.1133 | Layer 1 | Epoch 3  |
|          7200 |    28518.4141 | Layer 1 | Epoch 3  |
|          7300 |    28381.7656 | Layer 1 | Epoch 3  |
|          7400 |    28317.6641 | Layer 1 | Epoch 3  |
|          7500 |    28482.9922 | Layer 1 | Epoch 3  |
|          7600 |    28249.8594 | Layer 1 | Epoch 3  |
|          7700 |    28235.6348 | Layer 1 | Epoch 3  |
|          7800 |    28113.1113 | Layer 1 | Epoch 3  |
|          7900 |    28018.9941 | Layer 1 | Epoch 3  |
|          8000 |    27760.4629 | Layer 1 | Epoch 3  |
|          8100 |    27941.3418 | Layer 1 | Epoch 3  |
|          8200 |    28045.8730 | Layer 1 | Epoch 3  |
|          8300 |    27914.0879 | Layer 1 | Epoch 3  |
|          8400 |    27991.9395 | Layer 1 | Epoch 3  |
|          8500 |    27830.1035 | Layer 1 | Epoch 3  |
|          8600 |    27658.6211 | Layer 1 | Epoch 3  |
|          8700 |    27717.4824 | Layer 1 | Epoch 3  |
|          8800 |    27497.9336 | Layer 1 | Epoch 3  |
|          8900 |    27682.5098 | Layer 1 | Epoch 3  |
|          9000 |    27420.5273 | Layer 1 | Epoch 3  |
|          9100 |    27396.7422 | Layer 1 | Epoch 3  |
|          9200 |    26989.1738 | Layer 1 | Epoch 3  |
|          9300 |    27372.3516 | Layer 1 | Epoch 4  |
|          9400 |    27349.0859 | Layer 1 | Epoch 4  |
|          9500 |    26984.1562 | Layer 1 | Epoch 4  |
|          9600 |    27033.8477 | Layer 1 | Epoch 4  |
|          9700 |    27029.8457 | Layer 1 | Epoch 4  |
|          9800 |    27173.1172 | Layer 1 | Epoch 4  |
|          9900 |    26986.8574 | Layer 1 | Epoch 4  |
|         10000 |    26802.9824 | Layer 1 | Epoch 4  |
|         10100 |    27347.6562 | Layer 1 | Epoch 4  |
|         10200 |    26892.3496 | Layer 1 | Epoch 4  |
|         10300 |    26583.4062 | Layer 1 | Epoch 4  |
|         10400 |    27043.7676 | Layer 1 | Epoch 4  |
|         10500 |    27010.0625 | Layer 1 | Epoch 4  |
|         10600 |    26765.7988 | Layer 1 | Epoch 4  |
|         10700 |    26794.1562 | Layer 1 | Epoch 4  |
|         10800 |    26667.1914 | Layer 1 | Epoch 4  |
|         10900 |    26581.5605 | Layer 1 | Epoch 4  |
|         11000 |    26592.7168 | Layer 1 | Epoch 4  |
|         11100 |    26857.9844 | Layer 1 | Epoch 4  |
|         11200 |    26609.2266 | Layer 1 | Epoch 4  |
|         11300 |    26841.0176 | Layer 1 | Epoch 4  |
|         11400 |    26486.2129 | Layer 1 | Epoch 4  |
|         11500 |    26555.3691 | Layer 1 | Epoch 4  |
|         11600 |    26255.5586 | Layer 1 | Epoch 4  |
|         11700 |    26395.1035 | Layer 1 | Epoch 4  |
|         11800 |    26695.7812 | Layer 1 | Epoch 4  |
|         11900 |    25998.7676 | Layer 1 | Epoch 4  |
|         12000 |    26297.2344 | Layer 1 | Epoch 4  |
|         12100 |    26185.3086 | Layer 1 | Epoch 4  |
|         12200 |    26072.6426 | Layer 1 | Epoch 4  |
|         12300 |    26297.3711 | Layer 1 | Epoch 4  |
|         12400 |    26428.2402 | Layer 1 | Epoch 5  |
|         12500 |    26413.0449 | Layer 1 | Epoch 5  |
|         12600 |    25724.5918 | Layer 1 | Epoch 5  |
|         12700 |    25889.9102 | Layer 1 | Epoch 5  |
|         12800 |    25836.6484 | Layer 1 | Epoch 5  |
|         12900 |    26046.6035 | Layer 1 | Epoch 5  |
|         13000 |    25898.5996 | Layer 1 | Epoch 5  |
|         13100 |    26015.2891 | Layer 1 | Epoch 5  |
|         13200 |    25976.1562 | Layer 1 | Epoch 5  |
|         13300 |    25630.4434 | Layer 1 | Epoch 5  |
|         13400 |    25952.4863 | Layer 1 | Epoch 5  |
|         13500 |    25798.5234 | Layer 1 | Epoch 5  |
|         13600 |    25581.2051 | Layer 1 | Epoch 5  |
|         13700 |    25997.0059 | Layer 1 | Epoch 5  |
|         13800 |    25782.0879 | Layer 1 | Epoch 5  |
|         13900 |    25552.1934 | Layer 1 | Epoch 5  |
|         14000 |    25449.5020 | Layer 1 | Epoch 5  |
|         14100 |    25165.8730 | Layer 1 | Epoch 5  |
|         14200 |    25305.7637 | Layer 1 | Epoch 5  |
|         14300 |    25561.9609 | Layer 1 | Epoch 5  |
|         14400 |    25526.0117 | Layer 1 | Epoch 5  |
|         14500 |    25378.9473 | Layer 1 | Epoch 5  |
|         14600 |    25383.1602 | Layer 1 | Epoch 5  |
|         14700 |    25557.6172 | Layer 1 | Epoch 5  |
|         14800 |    25335.2754 | Layer 1 | Epoch 5  |
|         14900 |    25402.9023 | Layer 1 | Epoch 5  |
|         15000 |    25369.0820 | Layer 1 | Epoch 5  |
|         15100 |    25147.3027 | Layer 1 | Epoch 5  |
|         15200 |    25262.7324 | Layer 1 | Epoch 5  |
|         15300 |    24979.5254 | Layer 1 | Epoch 5  |
|         15400 |    24840.4922 | Layer 1 | Epoch 5  |
|         15500 |    25290.8848 | Layer 1 | Epoch 6  |
|         15600 |    24996.6406 | Layer 1 | Epoch 6  |
|         15700 |    25040.9707 | Layer 1 | Epoch 6  |
|         15800 |    25444.2676 | Layer 1 | Epoch 6  |
|         15900 |    24806.3555 | Layer 1 | Epoch 6  |
|         16000 |    24717.7285 | Layer 1 | Epoch 6  |
|         16100 |    25014.9297 | Layer 1 | Epoch 6  |
|         16200 |    24974.4297 | Layer 1 | Epoch 6  |
|         16300 |    25112.8574 | Layer 1 | Epoch 6  |
|         16400 |    24953.1543 | Layer 1 | Epoch 6  |
|         16500 |    24828.7305 | Layer 1 | Epoch 6  |
|         16600 |    24751.7754 | Layer 1 | Epoch 6  |
|         16700 |    24689.1797 | Layer 1 | Epoch 6  |
|         16800 |    24951.0645 | Layer 1 | Epoch 6  |
|         16900 |    24546.0449 | Layer 1 | Epoch 6  |
|         17000 |    24732.0020 | Layer 1 | Epoch 6  |
