I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:03:00.0
Total memory: 15.89GiB
Free memory: 714.25MiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x360e500
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 714.25MiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45468.5273 | Layer 1 | Epoch 1  |
|           100 |    44508.1875 | Layer 1 | Epoch 1  |
|           200 |    43081.5312 | Layer 1 | Epoch 1  |
|           300 |    41847.2031 | Layer 1 | Epoch 1  |
|           400 |    40738.9375 | Layer 1 | Epoch 1  |
|           500 |    39899.5977 | Layer 1 | Epoch 1  |
|           600 |    39068.8789 | Layer 1 | Epoch 1  |
|           700 |    38217.4141 | Layer 1 | Epoch 1  |
|           800 |    37732.8281 | Layer 1 | Epoch 1  |
|           900 |    36889.8047 | Layer 1 | Epoch 1  |
|          1000 |    36404.4844 | Layer 1 | Epoch 1  |
|          1100 |    35973.6562 | Layer 1 | Epoch 1  |
|          1200 |    35620.3164 | Layer 1 | Epoch 1  |
|          1300 |    35271.1172 | Layer 1 | Epoch 1  |
|          1400 |    35071.4531 | Layer 1 | Epoch 1  |
|          1500 |    34658.0156 | Layer 1 | Epoch 1  |
|          1600 |    34392.7266 | Layer 1 | Epoch 1  |
|          1700 |    34016.1953 | Layer 1 | Epoch 1  |
|          1800 |    33797.2383 | Layer 1 | Epoch 1  |
|          1900 |    33802.5391 | Layer 1 | Epoch 1  |
|          2000 |    33247.9023 | Layer 1 | Epoch 1  |
|          2100 |    33169.7734 | Layer 1 | Epoch 1  |
|          2200 |    32671.9414 | Layer 1 | Epoch 1  |
|          2300 |    32843.8008 | Layer 1 | Epoch 1  |
|          2400 |    32462.0449 | Layer 1 | Epoch 1  |
|          2500 |    32337.6523 | Layer 1 | Epoch 1  |
|          2600 |    32630.8301 | Layer 1 | Epoch 1  |
|          2700 |    32331.1641 | Layer 1 | Epoch 1  |
|          2800 |    31987.6113 | Layer 1 | Epoch 1  |
|          2900 |    32324.3906 | Layer 1 | Epoch 1  |
|          3000 |    31952.4609 | Layer 1 | Epoch 1  |
|          3100 |    31815.7871 | Layer 1 | Epoch 2  |
|          3200 |    31616.8457 | Layer 1 | Epoch 2  |
|          3300 |    31757.6973 | Layer 1 | Epoch 2  |
|          3400 |    31445.6113 | Layer 1 | Epoch 2  |
|          3500 |    31378.2559 | Layer 1 | Epoch 2  |
|          3600 |    31188.3848 | Layer 1 | Epoch 2  |
|          3700 |    31165.3516 | Layer 1 | Epoch 2  |
|          3800 |    31163.2871 | Layer 1 | Epoch 2  |
|          3900 |    30993.7148 | Layer 1 | Epoch 2  |
|          4000 |    30845.5625 | Layer 1 | Epoch 2  |
|          4100 |    30571.5801 | Layer 1 | Epoch 2  |
|          4200 |    30845.6348 | Layer 1 | Epoch 2  |
|          4300 |    30698.3320 | Layer 1 | Epoch 2  |
|          4400 |    30469.6992 | Layer 1 | Epoch 2  |
|          4500 |    30380.2969 | Layer 1 | Epoch 2  |
|          4600 |    30238.5078 | Layer 1 | Epoch 2  |
|          4700 |    30206.9375 | Layer 1 | Epoch 2  |
|          4800 |    29977.9004 | Layer 1 | Epoch 2  |
|          4900 |    30372.1934 | Layer 1 | Epoch 2  |
|          5000 |    30207.2930 | Layer 1 | Epoch 2  |
|          5100 |    30241.2852 | Layer 1 | Epoch 2  |
|          5200 |    29697.5039 | Layer 1 | Epoch 2  |
|          5300 |    29496.2891 | Layer 1 | Epoch 2  |
|          5400 |    29319.6719 | Layer 1 | Epoch 2  |
|          5500 |    29678.4219 | Layer 1 | Epoch 2  |
|          5600 |    29547.3789 | Layer 1 | Epoch 2  |
|          5700 |    29459.5215 | Layer 1 | Epoch 2  |
|          5800 |    29342.1230 | Layer 1 | Epoch 2  |
|          5900 |    28894.6465 | Layer 1 | Epoch 2  |
|          6000 |    29008.5488 | Layer 1 | Epoch 2  |
|          6100 |    29026.0039 | Layer 1 | Epoch 2  |
|          6200 |    28962.0762 | Layer 1 | Epoch 3  |
|          6300 |    29055.6699 | Layer 1 | Epoch 3  |
|          6400 |    28996.0137 | Layer 1 | Epoch 3  |
|          6500 |    28948.6074 | Layer 1 | Epoch 3  |
|          6600 |    28958.5840 | Layer 1 | Epoch 3  |
|          6700 |    28822.0586 | Layer 1 | Epoch 3  |
|          6800 |    28921.1426 | Layer 1 | Epoch 3  |
|          6900 |    28582.2129 | Layer 1 | Epoch 3  |
|          7000 |    28518.0879 | Layer 1 | Epoch 3  |
|          7100 |    28642.6055 | Layer 1 | Epoch 3  |
|          7200 |    28701.4004 | Layer 1 | Epoch 3  |
|          7300 |    28512.5449 | Layer 1 | Epoch 3  |
|          7400 |    28629.1016 | Layer 1 | Epoch 3  |
|          7500 |    28433.7695 | Layer 1 | Epoch 3  |
|          7600 |    28429.3516 | Layer 1 | Epoch 3  |
|          7700 |    28778.1289 | Layer 1 | Epoch 3  |
|          7800 |    28045.2520 | Layer 1 | Epoch 3  |
|          7900 |    28193.7988 | Layer 1 | Epoch 3  |
|          8000 |    28117.4043 | Layer 1 | Epoch 3  |
|          8100 |    28184.6289 | Layer 1 | Epoch 3  |
|          8200 |    28221.2676 | Layer 1 | Epoch 3  |
|          8300 |    27858.2617 | Layer 1 | Epoch 3  |
|          8400 |    28035.5586 | Layer 1 | Epoch 3  |
|          8500 |    28321.6797 | Layer 1 | Epoch 3  |
|          8600 |    27456.3438 | Layer 1 | Epoch 3  |
|          8700 |    27710.9531 | Layer 1 | Epoch 3  |
|          8800 |    27988.0195 | Layer 1 | Epoch 3  |
|          8900 |    27940.5898 | Layer 1 | Epoch 3  |
|          9000 |    28085.3672 | Layer 1 | Epoch 3  |
|          9100 |    27727.2793 | Layer 1 | Epoch 3  |
|          9200 |    27462.5117 | Layer 1 | Epoch 3  |
|          9300 |    27472.6055 | Layer 1 | Epoch 4  |
|          9400 |    27413.3672 | Layer 1 | Epoch 4  |
