I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:03:00.0
Total memory: 15.89GiB
Free memory: 714.25MiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x2a9c5f0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 714.25MiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45503.9102 | Layer 1 | Epoch 1  |
|           100 |    44544.5117 | Layer 1 | Epoch 1  |
|           200 |    43140.9102 | Layer 1 | Epoch 1  |
|           300 |    41822.3398 | Layer 1 | Epoch 1  |
|           400 |    40642.4688 | Layer 1 | Epoch 1  |
|           500 |    39782.2812 | Layer 1 | Epoch 1  |
|           600 |    38879.2617 | Layer 1 | Epoch 1  |
|           700 |    38098.0898 | Layer 1 | Epoch 1  |
|           800 |    37535.4922 | Layer 1 | Epoch 1  |
|           900 |    36963.6992 | Layer 1 | Epoch 1  |
|          1000 |    36456.5000 | Layer 1 | Epoch 1  |
|          1100 |    36004.1211 | Layer 1 | Epoch 1  |
|          1200 |    35461.7422 | Layer 1 | Epoch 1  |
|          1300 |    35082.5117 | Layer 1 | Epoch 1  |
|          1400 |    34845.8555 | Layer 1 | Epoch 1  |
|          1500 |    34492.7461 | Layer 1 | Epoch 1  |
|          1600 |    34488.1445 | Layer 1 | Epoch 1  |
|          1700 |    34001.3984 | Layer 1 | Epoch 1  |
|          1800 |    33664.0742 | Layer 1 | Epoch 1  |
|          1900 |    33330.4141 | Layer 1 | Epoch 1  |
|          2000 |    33375.4414 | Layer 1 | Epoch 1  |
|          2100 |    33147.4727 | Layer 1 | Epoch 1  |
|          2200 |    32933.7070 | Layer 1 | Epoch 1  |
|          2300 |    32875.1289 | Layer 1 | Epoch 1  |
|          2400 |    32611.4922 | Layer 1 | Epoch 1  |
|          2500 |    32323.5684 | Layer 1 | Epoch 1  |
|          2600 |    32192.9258 | Layer 1 | Epoch 1  |
|          2700 |    32289.4082 | Layer 1 | Epoch 1  |
|          2800 |    31822.0000 | Layer 1 | Epoch 1  |
|          2900 |    31698.9980 | Layer 1 | Epoch 1  |
|          3000 |    31829.1816 | Layer 1 | Epoch 1  |
|          3100 |    31656.2285 | Layer 1 | Epoch 2  |
|          3200 |    31957.4766 | Layer 1 | Epoch 2  |
|          3300 |    31344.5469 | Layer 1 | Epoch 2  |
|          3400 |    31289.1602 | Layer 1 | Epoch 2  |
|          3500 |    31275.1895 | Layer 1 | Epoch 2  |
