I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45498.4375 | Layer 1 | Epoch 1  |
|           100 |    43852.2930 | Layer 1 | Epoch 1  |
|           200 |    41430.2539 | Layer 1 | Epoch 1  |
|           300 |    39522.6367 | Layer 1 | Epoch 1  |
|           400 |    37868.5859 | Layer 1 | Epoch 1  |
|           500 |    36812.9102 | Layer 1 | Epoch 1  |
|           600 |    36027.7773 | Layer 1 | Epoch 1  |
|           700 |    35044.1484 | Layer 1 | Epoch 1  |
|           800 |    34774.5195 | Layer 1 | Epoch 1  |
|           900 |    34068.9844 | Layer 1 | Epoch 1  |
|          1000 |    33778.2305 | Layer 1 | Epoch 1  |
|          1100 |    33395.5781 | Layer 1 | Epoch 1  |
|          1200 |    33041.9961 | Layer 1 | Epoch 1  |
|          1300 |    32529.7969 | Layer 1 | Epoch 1  |
|          1400 |    32473.6113 | Layer 1 | Epoch 1  |
|          1500 |    32260.1934 | Layer 1 | Epoch 1  |
|          1600 |    31978.4648 | Layer 1 | Epoch 1  |
|          1700 |    31743.4336 | Layer 1 | Epoch 1  |
|          1800 |    31473.3047 | Layer 1 | Epoch 1  |
|          1900 |    31380.3672 | Layer 1 | Epoch 1  |
|          2000 |    30951.2812 | Layer 1 | Epoch 1  |
|          2100 |    30794.9707 | Layer 1 | Epoch 1  |
