I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:03:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x2e9fd10
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    48053.4375 | Layer 1 | Epoch 1  |
|          3100 |    24649.0898 | Layer 1 | Epoch 2  |
|          6200 |    23187.2305 | Layer 1 | Epoch 3  |
|          9300 |    21766.5938 | Layer 1 | Epoch 4  |
|         12400 |    21260.5273 | Layer 1 | Epoch 5  |
|         15500 |    20387.4043 | Layer 1 | Epoch 6  |
|         18600 |    19880.0371 | Layer 1 | Epoch 7  |
|         21700 |    19108.0723 | Layer 1 | Epoch 8  |
|         24800 |    18874.3887 | Layer 1 | Epoch 9  |
|         27900 |    18396.6895 | Layer 1 | Epoch 10  |
|         31000 |    18303.4434 | Layer 1 | Epoch 11  |
|         34100 |    18004.1953 | Layer 1 | Epoch 12  |
|         37200 |    18369.1289 | Layer 1 | Epoch 13  |
|         40300 |    17395.8320 | Layer 1 | Epoch 14  |
|         43400 |    17353.3535 | Layer 1 | Epoch 15  |
|         46500 |    17310.8418 | Layer 1 | Epoch 16  |
|         49600 |    17285.7012 | Layer 1 | Epoch 17  |
|         52700 |    17265.2520 | Layer 1 | Epoch 18  |
|         55800 |    17451.7754 | Layer 1 | Epoch 19  |
|         58900 |    17067.9590 | Layer 1 | Epoch 20  |
|         62000 |    16892.8301 | Layer 1 | Epoch 21  |
|         65100 |    16716.9883 | Layer 1 | Epoch 22  |
|         68200 |    16928.6543 | Layer 1 | Epoch 23  |
|         71300 |    16503.6250 | Layer 1 | Epoch 24  |
|         74400 |    16702.0137 | Layer 1 | Epoch 25  |
|         77500 |    16782.6406 | Layer 1 | Epoch 26  |
|         80600 |    16298.8691 | Layer 1 | Epoch 27  |
|         83700 |    16591.5566 | Layer 1 | Epoch 28  |
|         86800 |    16333.6230 | Layer 1 | Epoch 29  |
|         89900 |    16600.4648 | Layer 1 | Epoch 30  |
|         93000 |    16578.6348 | Layer 1 | Epoch 31  |
|         96100 |    16605.7070 | Layer 1 | Epoch 32  |
|         99200 |    16648.0039 | Layer 1 | Epoch 33  |
|        102300 |    16583.0703 | Layer 1 | Epoch 34  |
|        105400 |    16441.4668 | Layer 1 | Epoch 35  |
|        108500 |    16188.5801 | Layer 1 | Epoch 36  |
