I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:03:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x2740110
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    47924.3984 | Layer 1 | Epoch 1  |
|          3100 |    24514.8711 | Layer 1 | Epoch 2  |
|          6200 |    22943.0879 | Layer 1 | Epoch 3  |
|          9300 |    21851.8047 | Layer 1 | Epoch 4  |
|         12400 |    21076.3945 | Layer 1 | Epoch 5  |
|         15500 |    20389.6777 | Layer 1 | Epoch 6  |
|         18600 |    19905.0098 | Layer 1 | Epoch 7  |
|         21700 |    19456.9082 | Layer 1 | Epoch 8  |
|         24800 |    19234.9414 | Layer 1 | Epoch 9  |
|         27900 |    18449.4590 | Layer 1 | Epoch 10  |
|         31000 |    18372.7051 | Layer 1 | Epoch 11  |
|         34100 |    18332.5039 | Layer 1 | Epoch 12  |
|         37200 |    18170.2148 | Layer 1 | Epoch 13  |
|         40300 |    17730.8262 | Layer 1 | Epoch 14  |
|         43400 |    17387.1699 | Layer 1 | Epoch 15  |
|         46500 |    17386.9453 | Layer 1 | Epoch 16  |
|         49600 |    17476.8066 | Layer 1 | Epoch 17  |
|         52700 |    17553.5430 | Layer 1 | Epoch 18  |
|         55800 |    17320.2812 | Layer 1 | Epoch 19  |
|         58900 |    16985.5879 | Layer 1 | Epoch 20  |
|         62000 |    17093.2227 | Layer 1 | Epoch 21  |
|         65100 |    17002.6582 | Layer 1 | Epoch 22  |
|         68200 |    17184.4062 | Layer 1 | Epoch 23  |
|         71300 |    17075.0508 | Layer 1 | Epoch 24  |
|         74400 |    17148.3594 | Layer 1 | Epoch 25  |
|         77500 |    17195.8398 | Layer 1 | Epoch 26  |
|         80600 |    16856.3555 | Layer 1 | Epoch 27  |
|         83700 |    16879.1523 | Layer 1 | Epoch 28  |
|         86800 |    16161.8223 | Layer 1 | Epoch 29  |
|         89900 |    16647.2910 | Layer 1 | Epoch 30  |
|         93000 |    16604.0684 | Layer 1 | Epoch 31  |
|         96100 |    16579.9277 | Layer 1 | Epoch 32  |
|         99200 |    16670.5195 | Layer 1 | Epoch 33  |
|        102300 |    16795.0605 | Layer 1 | Epoch 34  |
|        105400 |    16781.5742 | Layer 1 | Epoch 35  |
|        108500 |    16574.1055 | Layer 1 | Epoch 36  |
