I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:03:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x3c1e0f0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    50154.1719 | Layer 1 | Epoch 1  |
|          3100 |    23279.8535 | Layer 1 | Epoch 2  |
|          6200 |    21952.2812 | Layer 1 | Epoch 3  |
|          9300 |    20606.9570 | Layer 1 | Epoch 4  |
|         12400 |    20091.9355 | Layer 1 | Epoch 5  |
|         15500 |    19825.5957 | Layer 1 | Epoch 6  |
|         18600 |    19245.6816 | Layer 1 | Epoch 7  |
|         21700 |    18373.4414 | Layer 1 | Epoch 8  |
|         24800 |    18355.7988 | Layer 1 | Epoch 9  |
|         27900 |    18135.7109 | Layer 1 | Epoch 10  |
|         31000 |    18085.8477 | Layer 1 | Epoch 11  |
|         34100 |    17731.9082 | Layer 1 | Epoch 12  |
|         37200 |    17290.3633 | Layer 1 | Epoch 13  |
|         40300 |    17281.3008 | Layer 1 | Epoch 14  |
|         43400 |    17030.2949 | Layer 1 | Epoch 15  |
|         46500 |    17332.1992 | Layer 1 | Epoch 16  |
|         49600 |    16870.7031 | Layer 1 | Epoch 17  |
|         52700 |    17007.7559 | Layer 1 | Epoch 18  |
|         55800 |    16930.1680 | Layer 1 | Epoch 19  |
|         58900 |    17087.3301 | Layer 1 | Epoch 20  |
|         62000 |    16786.0938 | Layer 1 | Epoch 21  |
|         65100 |    16934.8359 | Layer 1 | Epoch 22  |
|         68200 |    16434.6113 | Layer 1 | Epoch 23  |
|         71300 |    16597.0293 | Layer 1 | Epoch 24  |
|         74400 |    16593.8203 | Layer 1 | Epoch 25  |
|         77500 |    16160.9189 | Layer 1 | Epoch 26  |
|         80600 |    16420.3672 | Layer 1 | Epoch 27  |
|         83700 |    16361.3584 | Layer 1 | Epoch 28  |
|         86800 |    16559.5449 | Layer 1 | Epoch 29  |
|         89900 |    16278.6396 | Layer 1 | Epoch 30  |
|         93000 |    16398.7715 | Layer 1 | Epoch 31  |
|         96100 |    16041.9941 | Layer 1 | Epoch 32  |
|         99200 |    16425.9629 | Layer 1 | Epoch 33  |
|        102300 |    16208.5615 | Layer 1 | Epoch 34  |
|        105400 |    16162.5283 | Layer 1 | Epoch 35  |
|        108500 |    16195.6445 | Layer 1 | Epoch 36  |
