I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:03:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x2c31d30
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    50213.1875 | Layer 1 | Epoch 1  |
|          3100 |    23523.0293 | Layer 1 | Epoch 2  |
|          6200 |    21658.5645 | Layer 1 | Epoch 3  |
|          9300 |    20831.8340 | Layer 1 | Epoch 4  |
|         12400 |    20292.4199 | Layer 1 | Epoch 5  |
|         15500 |    19952.6777 | Layer 1 | Epoch 6  |
|         18600 |    19149.8613 | Layer 1 | Epoch 7  |
|         21700 |    18578.9648 | Layer 1 | Epoch 8  |
|         24800 |    18327.8594 | Layer 1 | Epoch 9  |
|         27900 |    18066.9453 | Layer 1 | Epoch 10  |
|         31000 |    17690.7832 | Layer 1 | Epoch 11  |
|         34100 |    17654.9629 | Layer 1 | Epoch 12  |
|         37200 |    17618.2188 | Layer 1 | Epoch 13  |
|         40300 |    17740.8555 | Layer 1 | Epoch 14  |
|         43400 |    17297.7031 | Layer 1 | Epoch 15  |
|         46500 |    17145.7695 | Layer 1 | Epoch 16  |
|         49600 |    16954.3262 | Layer 1 | Epoch 17  |
|         52700 |    17266.6113 | Layer 1 | Epoch 18  |
|         55800 |    16743.8281 | Layer 1 | Epoch 19  |
|         58900 |    17067.0039 | Layer 1 | Epoch 20  |
|         62000 |    16580.6777 | Layer 1 | Epoch 21  |
|         65100 |    16399.7578 | Layer 1 | Epoch 22  |
|         68200 |    16502.8672 | Layer 1 | Epoch 23  |
|         71300 |    16676.3984 | Layer 1 | Epoch 24  |
|         74400 |    16531.6152 | Layer 1 | Epoch 25  |
|         77500 |    16948.7930 | Layer 1 | Epoch 26  |
|         80600 |    16320.7598 | Layer 1 | Epoch 27  |
|         83700 |    16055.2715 | Layer 1 | Epoch 28  |
|         86800 |    16232.9971 | Layer 1 | Epoch 29  |
|         89900 |    16305.6709 | Layer 1 | Epoch 30  |
|         93000 |    16385.8164 | Layer 1 | Epoch 31  |
|         96100 |    16316.0781 | Layer 1 | Epoch 32  |
|         99200 |    16136.8105 | Layer 1 | Epoch 33  |
|        102300 |    16283.4844 | Layer 1 | Epoch 34  |
|        105400 |    16215.8330 | Layer 1 | Epoch 35  |
|        108500 |    16269.3691 | Layer 1 | Epoch 36  |
