I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:03:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x2f81fe0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:1) -> (device: 1, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46817.5625 | Layer 1 | Epoch 1  |
|          3100 |    25888.2832 | Layer 1 | Epoch 2  |
|          6200 |    23880.5820 | Layer 1 | Epoch 3  |
|          9300 |    22707.8535 | Layer 1 | Epoch 4  |
|         12400 |    21523.0312 | Layer 1 | Epoch 5  |
|         15500 |    20993.7090 | Layer 1 | Epoch 6  |
|         18600 |    20401.2695 | Layer 1 | Epoch 7  |
|         21700 |    19804.5000 | Layer 1 | Epoch 8  |
|         24800 |    19648.1387 | Layer 1 | Epoch 9  |
|         27900 |    19183.3730 | Layer 1 | Epoch 10  |
|         31000 |    18743.8359 | Layer 1 | Epoch 11  |
|         34100 |    18543.1816 | Layer 1 | Epoch 12  |
|         37200 |    18585.5898 | Layer 1 | Epoch 13  |
|         40300 |    18238.2207 | Layer 1 | Epoch 14  |
|         43400 |    18132.5801 | Layer 1 | Epoch 15  |
|         46500 |    17717.6172 | Layer 1 | Epoch 16  |
|         49600 |    17526.7383 | Layer 1 | Epoch 17  |
|         52700 |    17518.3867 | Layer 1 | Epoch 18  |
|         55800 |    17472.2266 | Layer 1 | Epoch 19  |
|         58900 |    17346.3027 | Layer 1 | Epoch 20  |
|         62000 |    17314.8594 | Layer 1 | Epoch 21  |
|         65100 |    17373.7773 | Layer 1 | Epoch 22  |
|         68200 |    16971.1133 | Layer 1 | Epoch 23  |
|         71300 |    17044.3301 | Layer 1 | Epoch 24  |
|         74400 |    16761.4473 | Layer 1 | Epoch 25  |
|         77500 |    16784.5742 | Layer 1 | Epoch 26  |
|         80600 |    17095.7012 | Layer 1 | Epoch 27  |
|         83700 |    16638.2461 | Layer 1 | Epoch 28  |
|         86800 |    16868.1680 | Layer 1 | Epoch 29  |
|         89900 |    16573.1348 | Layer 1 | Epoch 30  |
|         93000 |    16834.6191 | Layer 1 | Epoch 31  |
|         96100 |    16705.8203 | Layer 1 | Epoch 32  |
|         99200 |    16686.4492 | Layer 1 | Epoch 33  |
|        102300 |    16626.5234 | Layer 1 | Epoch 34  |
|        105400 |    16273.7959 | Layer 1 | Epoch 35  |
|        108500 |    16671.2383 | Layer 1 | Epoch 36  |
