I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.69GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01', 'S02', 'S03', 'S04', 'S05']
[]
[]
Loading images  ../dataset/*.jpeg ['S01', 'S02', 'S03', 'S04', 'S05']
Number of images: 31000
Number of rows: 256
Number of cols: 256
Dataset array size:  (31000, 256, 256, 1)
(15500, 256, 256, 1)
(7750, 256, 256, 1)
(7750, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45506.6445 | Layer 1 | Epoch 1  |
|           100 |    44102.8906 | Layer 1 | Epoch 1  |
|           200 |    41967.1992 | Layer 1 | Epoch 1  |
|           300 |    40297.7695 | Layer 1 | Epoch 1  |
|           400 |    38929.4062 | Layer 1 | Epoch 1  |
|           500 |    38081.9648 | Layer 1 | Epoch 1  |
|           600 |    37155.4102 | Layer 1 | Epoch 1  |
|           700 |    36336.5156 | Layer 1 | Epoch 1  |
|           800 |    35814.2734 | Layer 1 | Epoch 1  |
|           900 |    35362.5898 | Layer 1 | Epoch 1  |
|          1000 |    34776.4023 | Layer 1 | Epoch 1  |
|          1100 |    34588.4258 | Layer 1 | Epoch 1  |
|          1200 |    34358.1328 | Layer 1 | Epoch 1  |
|          1300 |    33969.4453 | Layer 1 | Epoch 1  |
|          1400 |    33833.1641 | Layer 1 | Epoch 1  |
|          1500 |    33640.8398 | Layer 1 | Epoch 1  |
|          1600 |    33354.4844 | Layer 1 | Epoch 1  |
|          1700 |    32925.8672 | Layer 1 | Epoch 1  |
|          1800 |    32968.0391 | Layer 1 | Epoch 1  |
|          1900 |    32791.0703 | Layer 1 | Epoch 1  |
|          2000 |    32655.2812 | Layer 1 | Epoch 1  |
|          2100 |    32493.8008 | Layer 1 | Epoch 1  |
|          2200 |    31961.6367 | Layer 1 | Epoch 1  |
|          2300 |    32135.5527 | Layer 1 | Epoch 1  |
|          2400 |    32026.4688 | Layer 1 | Epoch 1  |
