I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.57GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45440.4922 | Layer 1 | Epoch 1  |
|           100 |    44895.0625 | Layer 1 | Epoch 1  |
|           200 |    44073.0391 | Layer 1 | Epoch 1  |
|           300 |    43267.4180 | Layer 1 | Epoch 1  |
|           400 |    42554.5273 | Layer 1 | Epoch 1  |
|           500 |    41923.3047 | Layer 1 | Epoch 1  |
|           600 |    41349.9531 | Layer 1 | Epoch 1  |
|           700 |    40613.4727 | Layer 1 | Epoch 1  |
|           800 |    40169.1211 | Layer 1 | Epoch 1  |
|           900 |    39597.7305 | Layer 1 | Epoch 1  |
|          1000 |    39167.7461 | Layer 1 | Epoch 1  |
|          1100 |    38621.5859 | Layer 1 | Epoch 1  |
|          1200 |    38219.7461 | Layer 1 | Epoch 1  |
|          1300 |    37850.2383 | Layer 1 | Epoch 1  |
|          1400 |    37632.6719 | Layer 1 | Epoch 1  |
|          1500 |    37234.4258 | Layer 1 | Epoch 1  |
|          1600 |    36804.9570 | Layer 1 | Epoch 1  |
|          1700 |    36784.7344 | Layer 1 | Epoch 1  |
|          1800 |    36199.8594 | Layer 1 | Epoch 1  |
|          1900 |    35971.6719 | Layer 1 | Epoch 1  |
|          2000 |    35742.4883 | Layer 1 | Epoch 1  |
|          2100 |    35608.7656 | Layer 1 | Epoch 1  |
|          2200 |    35189.8828 | Layer 1 | Epoch 1  |
|          2300 |    34876.6797 | Layer 1 | Epoch 1  |
|          2400 |    34629.0391 | Layer 1 | Epoch 1  |
|          2500 |    34779.1211 | Layer 1 | Epoch 1  |
