I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.80GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46097.8398 | Layer 1 | Epoch 1  |
|           100 |    38074.3711 | Layer 1 | Epoch 1  |
|           200 |    33828.2695 | Layer 1 | Epoch 1  |
|           300 |    32661.3457 | Layer 1 | Epoch 1  |
|           400 |    31514.1719 | Layer 1 | Epoch 1  |
|           500 |    30977.4492 | Layer 1 | Epoch 1  |
|           600 |    30773.8301 | Layer 1 | Epoch 1  |
|           700 |    30277.5098 | Layer 1 | Epoch 1  |
|           800 |    30026.3105 | Layer 1 | Epoch 1  |
|           900 |    29589.7617 | Layer 1 | Epoch 1  |
|          1000 |    29547.0996 | Layer 1 | Epoch 1  |
|          1100 |    29204.8184 | Layer 1 | Epoch 1  |
|          1200 |    29122.5156 | Layer 1 | Epoch 1  |
|          1300 |    28982.6152 | Layer 1 | Epoch 1  |
|          1400 |    28780.5781 | Layer 1 | Epoch 1  |
|          1500 |    28842.8145 | Layer 1 | Epoch 1  |
|          1600 |    28434.3262 | Layer 1 | Epoch 1  |
|          1700 |    28283.8164 | Layer 1 | Epoch 1  |
|          1800 |    28110.6016 | Layer 1 | Epoch 1  |
|          1900 |    28094.5234 | Layer 1 | Epoch 1  |
|          2000 |    27949.4766 | Layer 1 | Epoch 1  |
|          2100 |    27973.0801 | Layer 1 | Epoch 1  |
|          2200 |    27742.4805 | Layer 1 | Epoch 1  |
|          2300 |    27480.4316 | Layer 1 | Epoch 1  |
