I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.68GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45435.0547 | Layer 1 | Epoch 1  |
|           100 |    45211.5508 | Layer 1 | Epoch 1  |
|           200 |    44912.5273 | Layer 1 | Epoch 1  |
|           300 |    44613.5742 | Layer 1 | Epoch 1  |
|           400 |    44359.2148 | Layer 1 | Epoch 1  |
|           500 |    44029.6719 | Layer 1 | Epoch 1  |
|           600 |    43788.6602 | Layer 1 | Epoch 1  |
|           700 |    43495.0820 | Layer 1 | Epoch 1  |
|           800 |    43241.6719 | Layer 1 | Epoch 1  |
|           900 |    42936.1875 | Layer 1 | Epoch 1  |
|          1000 |    42688.7812 | Layer 1 | Epoch 1  |
|          1100 |    42469.0273 | Layer 1 | Epoch 1  |
|          1200 |    42227.5273 | Layer 1 | Epoch 1  |
|          1300 |    41979.9258 | Layer 1 | Epoch 1  |
|          1400 |    41768.7578 | Layer 1 | Epoch 1  |
|          1500 |    41490.8828 | Layer 1 | Epoch 1  |
|          1600 |    41256.5195 | Layer 1 | Epoch 1  |
|          1700 |    41039.8984 | Layer 1 | Epoch 1  |
|          1800 |    40855.2617 | Layer 1 | Epoch 1  |
|          1900 |    40654.4141 | Layer 1 | Epoch 1  |
|          2000 |    40416.8047 | Layer 1 | Epoch 1  |
|          2100 |    40272.3047 | Layer 1 | Epoch 1  |
|          2200 |    39917.8438 | Layer 1 | Epoch 1  |
|          2300 |    39854.4297 | Layer 1 | Epoch 1  |
|          2400 |    39627.3203 | Layer 1 | Epoch 1  |
|          2500 |    39433.5430 | Layer 1 | Epoch 1  |
|          2600 |    39253.5547 | Layer 1 | Epoch 1  |
|          2700 |    39077.4141 | Layer 1 | Epoch 1  |
|          2800 |    38991.0469 | Layer 1 | Epoch 1  |
|          2900 |    38805.6484 | Layer 1 | Epoch 1  |
|          3000 |    38520.4961 | Layer 1 | Epoch 1  |
|          3100 |    38343.8203 | Layer 1 | Epoch 2  |
|          3200 |    38226.6406 | Layer 1 | Epoch 2  |
|          3300 |    38047.1094 | Layer 1 | Epoch 2  |
|          3400 |    37915.6367 | Layer 1 | Epoch 2  |
|          3500 |    37775.6797 | Layer 1 | Epoch 2  |
|          3600 |    37591.7109 | Layer 1 | Epoch 2  |
|          3700 |    37325.9883 | Layer 1 | Epoch 2  |
|          3800 |    37216.5859 | Layer 1 | Epoch 2  |
|          3900 |    37152.7383 | Layer 1 | Epoch 2  |
|          4000 |    36909.6250 | Layer 1 | Epoch 2  |
|          4100 |    36781.0078 | Layer 1 | Epoch 2  |
|          4200 |    36646.3125 | Layer 1 | Epoch 2  |
|          4300 |    36438.5547 | Layer 1 | Epoch 2  |
|          4400 |    36269.5352 | Layer 1 | Epoch 2  |
|          4500 |    36449.6289 | Layer 1 | Epoch 2  |
|          4600 |    36042.9688 | Layer 1 | Epoch 2  |
|          4700 |    35965.6250 | Layer 1 | Epoch 2  |
|          4800 |    35829.7344 | Layer 1 | Epoch 2  |
|          4900 |    35677.2578 | Layer 1 | Epoch 2  |
|          5000 |    35603.4336 | Layer 1 | Epoch 2  |
|          5100 |    35460.7031 | Layer 1 | Epoch 2  |
|          5200 |    35582.7227 | Layer 1 | Epoch 2  |
|          5300 |    35219.7383 | Layer 1 | Epoch 2  |
|          5400 |    35177.1289 | Layer 1 | Epoch 2  |
|          5500 |    34963.4570 | Layer 1 | Epoch 2  |
|          5600 |    34898.6680 | Layer 1 | Epoch 2  |
|          5700 |    34783.8906 | Layer 1 | Epoch 2  |
|          5800 |    34620.5234 | Layer 1 | Epoch 2  |
|          5900 |    34494.3398 | Layer 1 | Epoch 2  |
|          6000 |    34301.7539 | Layer 1 | Epoch 2  |
|          6100 |    34133.3203 | Layer 1 | Epoch 2  |
|          6200 |    34101.9570 | Layer 1 | Epoch 3  |
|          6300 |    34172.2969 | Layer 1 | Epoch 3  |
|          6400 |    33907.6680 | Layer 1 | Epoch 3  |
|          6500 |    34046.2227 | Layer 1 | Epoch 3  |
|          6600 |    33616.9688 | Layer 1 | Epoch 3  |
|          6700 |    33662.3398 | Layer 1 | Epoch 3  |
|          6800 |    33613.7969 | Layer 1 | Epoch 3  |
|          6900 |    33471.7734 | Layer 1 | Epoch 3  |
|          7000 |    33326.6289 | Layer 1 | Epoch 3  |
|          7100 |    33255.1211 | Layer 1 | Epoch 3  |
|          7200 |    33147.3164 | Layer 1 | Epoch 3  |
|          7300 |    33305.4219 | Layer 1 | Epoch 3  |
|          7400 |    33076.0859 | Layer 1 | Epoch 3  |
|          7500 |    32895.4102 | Layer 1 | Epoch 3  |
|          7600 |    32741.1719 | Layer 1 | Epoch 3  |
|          7700 |    32779.0391 | Layer 1 | Epoch 3  |
|          7800 |    32694.8359 | Layer 1 | Epoch 3  |
|          7900 |    32643.0684 | Layer 1 | Epoch 3  |
|          8000 |    32496.2090 | Layer 1 | Epoch 3  |
|          8100 |    32616.4902 | Layer 1 | Epoch 3  |
|          8200 |    32442.5078 | Layer 1 | Epoch 3  |
|          8300 |    32164.3418 | Layer 1 | Epoch 3  |
|          8400 |    32128.7734 | Layer 1 | Epoch 3  |
|          8500 |    32143.3184 | Layer 1 | Epoch 3  |
|          8600 |    32206.4824 | Layer 1 | Epoch 3  |
|          8700 |    32063.1211 | Layer 1 | Epoch 3  |
|          8800 |    31569.1621 | Layer 1 | Epoch 3  |
|          8900 |    31635.7070 | Layer 1 | Epoch 3  |
|          9000 |    31701.5449 | Layer 1 | Epoch 3  |
|          9100 |    31603.7207 | Layer 1 | Epoch 3  |
|          9200 |    31626.5078 | Layer 1 | Epoch 3  |
|          9300 |    31552.7812 | Layer 1 | Epoch 4  |
|          9400 |    31326.6484 | Layer 1 | Epoch 4  |
|          9500 |    31296.5391 | Layer 1 | Epoch 4  |
|          9600 |    31354.8867 | Layer 1 | Epoch 4  |
|          9700 |    31265.4023 | Layer 1 | Epoch 4  |
|          9800 |    31160.0977 | Layer 1 | Epoch 4  |
|          9900 |    31050.0273 | Layer 1 | Epoch 4  |
|         10000 |    30996.2305 | Layer 1 | Epoch 4  |
|         10100 |    30872.7480 | Layer 1 | Epoch 4  |
|         10200 |    31223.2441 | Layer 1 | Epoch 4  |
|         10300 |    30782.1074 | Layer 1 | Epoch 4  |
|         10400 |    30896.1094 | Layer 1 | Epoch 4  |
|         10500 |    30620.8867 | Layer 1 | Epoch 4  |
|         10600 |    30801.3262 | Layer 1 | Epoch 4  |
|         10700 |    30471.1836 | Layer 1 | Epoch 4  |
|         10800 |    30389.3945 | Layer 1 | Epoch 4  |
|         10900 |    30576.3750 | Layer 1 | Epoch 4  |
|         11000 |    30204.8340 | Layer 1 | Epoch 4  |
|         11100 |    30507.3320 | Layer 1 | Epoch 4  |
|         11200 |    30307.0977 | Layer 1 | Epoch 4  |
|         11300 |    30280.4688 | Layer 1 | Epoch 4  |
|         11400 |    30249.8398 | Layer 1 | Epoch 4  |
|         11500 |    29904.9082 | Layer 1 | Epoch 4  |
|         11600 |    30305.2109 | Layer 1 | Epoch 4  |
|         11700 |    29950.3906 | Layer 1 | Epoch 4  |
|         11800 |    29956.6094 | Layer 1 | Epoch 4  |
|         11900 |    29812.2617 | Layer 1 | Epoch 4  |
|         12000 |    29739.1934 | Layer 1 | Epoch 4  |
|         12100 |    29702.8457 | Layer 1 | Epoch 4  |
|         12200 |    29639.2695 | Layer 1 | Epoch 4  |
|         12300 |    29515.8887 | Layer 1 | Epoch 4  |
|         12400 |    29596.9746 | Layer 1 | Epoch 5  |
|         12500 |    29438.4531 | Layer 1 | Epoch 5  |
|         12600 |    29358.4980 | Layer 1 | Epoch 5  |
|         12700 |    29325.2578 | Layer 1 | Epoch 5  |
