I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:925] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: GeForce 940MX
major: 5 minor: 0 memoryClockRate (GHz) 0.8605
pciBusID 0000:01:00.0
Total memory: 1.96GiB
Free memory: 1.51GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce 940MX, pci bus id: 0000:01:00.0)
['S01']
[]
[]
Loading images  ../dataset/*.jpeg ['S01']
Number of images: 6200
Number of rows: 256
Number of cols: 256
Dataset array size:  (6200, 256, 256, 1)
(3100, 256, 256, 1)
(1550, 256, 256, 1)
(1550, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45440.5781 | Layer 1 | Epoch 1  |
|           100 |    45151.0234 | Layer 1 | Epoch 1  |
|           200 |    44664.6797 | Layer 1 | Epoch 1  |
|           300 |    44195.2148 | Layer 1 | Epoch 1  |
|           400 |    43707.7266 | Layer 1 | Epoch 1  |
|           500 |    43288.5469 | Layer 1 | Epoch 1  |
|           600 |    42864.6445 | Layer 1 | Epoch 1  |
|           700 |    42460.8672 | Layer 1 | Epoch 1  |
|           800 |    42025.7656 | Layer 1 | Epoch 1  |
|           900 |    41720.5625 | Layer 1 | Epoch 1  |
|          1000 |    41270.8828 | Layer 1 | Epoch 1  |
|          1100 |    40979.9531 | Layer 1 | Epoch 1  |
|          1200 |    40616.1250 | Layer 1 | Epoch 1  |
|          1300 |    40296.6914 | Layer 1 | Epoch 1  |
|          1400 |    40002.4180 | Layer 1 | Epoch 1  |
|          1500 |    39704.0625 | Layer 1 | Epoch 1  |
|          1600 |    39421.6602 | Layer 1 | Epoch 1  |
|          1700 |    39121.7461 | Layer 1 | Epoch 1  |
|          1800 |    38744.6523 | Layer 1 | Epoch 1  |
|          1900 |    38546.2852 | Layer 1 | Epoch 1  |
|          2000 |    38299.7930 | Layer 1 | Epoch 1  |
|          2100 |    38059.9180 | Layer 1 | Epoch 1  |
|          2200 |    37771.9102 | Layer 1 | Epoch 1  |
|          2300 |    37628.5312 | Layer 1 | Epoch 1  |
|          2400 |    37332.8672 | Layer 1 | Epoch 1  |
|          2500 |    37141.0234 | Layer 1 | Epoch 1  |
|          2600 |    36971.4141 | Layer 1 | Epoch 1  |
|          2700 |    36851.5469 | Layer 1 | Epoch 1  |
|          2800 |    36370.2109 | Layer 1 | Epoch 1  |
|          2900 |    36339.7031 | Layer 1 | Epoch 1  |
|          3000 |    36061.9922 | Layer 1 | Epoch 1  |
|          3100 |    35736.9023 | Layer 1 | Epoch 2  |
|          3200 |    35591.8672 | Layer 1 | Epoch 2  |
|          3300 |    35626.5469 | Layer 1 | Epoch 2  |
|          3400 |    35469.6562 | Layer 1 | Epoch 2  |
|          3500 |    35176.4570 | Layer 1 | Epoch 2  |
|          3600 |    35048.1250 | Layer 1 | Epoch 2  |
|          3700 |    34907.2852 | Layer 1 | Epoch 2  |
|          3800 |    34805.7266 | Layer 1 | Epoch 2  |
|          3900 |    34479.9883 | Layer 1 | Epoch 2  |
|          4000 |    34430.2109 | Layer 1 | Epoch 2  |
