,Label
1,0
2,0
3,6
4,5
5,3
6,7
7,0
8,2
9,0
10,2
11,6
12,7
13,6
14,0
15,5
16,2
17,2
18,1
19,9
20,0
21,9
22,1
23,3
24,5
25,8
26,5
27,3
28,8
29,6
30,6
31,5
32,5
33,5
34,2
35,6
36,4
37,7
38,5
39,3
40,4
41,6
42,6
43,4
44,9
45,8
46,5
47,8
48,3
49,8
50,6
51,6
52,7
53,8
54,2
55,8
56,4
57,1
58,5
59,4
60,2
61,6
62,1
63,7
64,1
65,0
66,0
67,1
68,8
69,0
70,2
71,4
72,5
73,4
74,8
75,4
76,5
77,5
78,8
79,1
80,3
81,4
82,7
83,1
84,1
85,6
86,2
87,4
88,3
89,6
90,7
91,1
92,0
93,6
94,6
95,5
96,6
97,3
98,8
99,7
100,5
101,1
102,8
103,3
104,0
105,7
106,4
107,0
108,5
109,0
110,6
111,0
112,0
113,6
114,5
115,1
116,5
117,2
118,1
119,5
120,5
121,3
122,7
123,3
124,7
125,5
126,3
127,8
128,7
129,5
130,6
131,5
132,4
133,5
134,2
135,0
136,0
137,3
138,1
139,3
140,3
141,3
142,3
143,4
144,5
145,6
146,5
147,7
148,7
149,2
150,8
151,5
152,3
153,5
154,7
155,5
156,3
157,5
158,5
159,7
160,8
161,2
162,1
163,3
164,3
165,2
166,7
167,5
168,6
169,3
170,0
171,0
172,8
173,5
174,7
175,0
176,3
177,8
178,4
179,2
180,2
181,6
182,6
183,6
184,3
185,3
186,8
187,2
188,1
189,5
190,0
191,5
192,1
193,4
194,6
195,5
196,0
197,9
198,8
199,4
200,8
201,1
202,9
203,0
204,8
205,9
206,0
207,6
208,4
209,5
210,2
211,0
212,9
213,3
214,6
215,9
216,4
217,0
218,6
219,3
220,5
221,2
222,3
223,1
224,0
225,3
226,6
227,5
228,7
229,1
230,1
231,1
232,5
233,9
234,2
235,8
236,2
237,3
238,6
239,8
240,6
241,5
242,6
243,2
244,5
245,6
246,5
247,7
248,6
249,3
250,4
251,9
252,6
253,1
254,4
255,8
256,7
257,5
258,1
259,5
260,4
261,3
262,3
263,5
264,6
265,7
266,0
267,7
268,6
269,3
270,1
271,5
272,0
273,6
274,3
275,6
276,5
277,1
278,6
279,7
280,5
