,Label
1,2
2,0
3,6
4,5
5,3
6,6
7,0
8,2
9,0
10,3
11,6
12,6
13,4
14,0
15,5
16,3
17,3
18,1
19,8
20,0
21,8
22,1
23,3
24,5
25,7
26,5
27,4
28,5
29,4
30,7
31,6
32,5
33,3
34,2
35,5
36,5
37,7
38,6
39,2
40,4
41,7
42,6
43,4
44,8
45,7
46,5
47,8
48,4
49,8
50,4
51,6
52,7
53,7
54,4
55,9
56,5
57,1
58,4
59,4
60,3
61,6
62,1
63,7
64,0
65,1
66,0
67,1
68,8
69,0
70,2
71,5
72,5
73,6
74,7
75,5
76,4
77,5
78,7
79,3
80,4
81,5
82,6
83,1
84,1
85,6
86,4
87,5
88,4
89,6
90,7
91,3
92,3
93,6
94,6
95,5
96,5
97,5
98,7
99,6
100,4
101,0
102,7
103,2
104,2
105,7
106,5
107,0
108,4
109,0
110,5
111,3
112,0
113,5
114,5
115,2
116,5
117,2
118,1
119,5
120,6
121,3
122,7
123,4
124,5
125,5
126,4
127,6
128,7
129,5
130,5
131,5
132,5
133,6
134,3
135,0
136,0
137,3
138,1
139,4
140,4
141,4
142,3
143,5
144,5
145,5
146,6
147,5
148,5
149,2
150,7
151,5
152,4
153,6
154,6
155,4
156,4
157,5
158,3
159,5
160,6
161,3
162,1
163,3
164,4
165,1
166,4
167,5
168,5
169,4
170,2
171,2
172,8
173,6
174,6
175,1
176,3
177,8
178,4
179,1
180,2
181,5
182,6
183,6
184,4
185,4
186,7
187,3
188,1
189,6
190,0
191,5
192,1
193,4
194,5
195,6
196,0
197,8
198,8
199,4
200,8
201,1
202,8
203,0
204,6
205,9
206,1
207,6
208,5
209,5
210,3
211,1
212,8
213,3
214,6
215,7
216,3
217,2
218,6
219,3
220,5
221,3
222,3
223,1
224,2
225,3
226,4
227,5
228,5
229,1
230,0
231,1
232,6
233,9
234,2
235,6
236,2
237,4
238,3
239,7
240,6
241,5
242,6
243,3
244,4
245,6
246,4
247,6
248,6
249,5
250,6
251,8
252,5
253,1
254,4
255,8
256,6
257,5
258,1
259,4
260,3
261,4
262,4
263,5
264,5
265,6
266,0
267,6
268,6
269,4
270,1
271,6
272,0
273,5
274,2
275,7
276,6
277,1
278,6
279,8
280,3
281,0
282,7
283,3
284,4
285,5
286,3
287,7
288,4
289,5
290,9
291,6
292,7
293,6
294,9
295,8
296,5
297,5
298,2
299,4
300,2
301,6
302,8
303,8
304,2
305,5
306,4
307,6
308,2
309,5
310,4
311,7
312,5
313,8
314,2
315,1
316,3
317,7
318,4
319,1
320,7
321,5
322,1
323,2
324,6
325,8
326,5
327,6
328,1
329,5
330,5
331,6
332,5
333,1
334,3
335,1
336,7
337,1
338,4
339,6
340,4
341,5
342,4
343,1
344,5
345,4
346,0
347,6
348,5
349,3
350,4
351,5
352,6
353,6
354,2
355,5
356,5
357,5
358,9
359,3
360,5
361,5
362,6
363,5
364,5
365,6
366,5
367,3
368,6
369,1
370,5
371,3
372,5
373,6
374,8
375,7
376,5
377,7
378,5
379,4
380,5
381,5
382,5
383,5
384,7
385,3
386,6
387,2
388,1
389,3
390,5
391,1
392,7
393,6
394,5
395,5
396,1
397,1
398,1
399,8
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,5
408,3
409,6
410,4
411,5
412,3
413,5
414,1
415,3
416,5
417,1
418,1
419,3
420,5
421,5
422,5
423,6
424,6
425,5
426,1
427,5
428,7
429,4
430,7
431,3
432,8
433,5
434,4
435,5
436,1
437,4
438,5
439,4
440,2
441,7
442,5
443,5
444,4
445,5
446,4
447,2
448,5
449,3
450,8
451,7
452,6
453,5
454,9
455,5
456,6
457,4
458,4
459,6
460,6
461,5
462,6
463,5
464,2
465,5
466,1
467,7
468,6
469,5
470,1
471,1
472,4
473,8
474,6
475,4
476,2
477,3
478,3
479,1
480,0
481,5
482,7
483,1
484,4
485,7
486,9
487,4
488,6
489,4
490,8
491,4
492,4
493,4
494,4
495,5
496,6
497,4
498,4
499,3
500,1
501,4
502,5
503,6
504,4
505,2
506,6
507,4
508,3
509,3
510,5
511,7
512,6
513,8
514,5
515,6
516,4
517,4
518,7
519,5
520,3
521,5
522,7
523,0
524,6
525,7
526,1
527,2
528,1
529,1
530,7
531,2
532,6
533,3
534,7
535,4
536,5
537,4
538,6
539,5
540,3
541,3
542,3
543,8
544,4
545,1
546,3
547,0
548,7
549,4
550,1
551,2
552,3
553,1
554,5
555,2
556,0
557,5
558,5
559,6
560,3
561,2
562,3
563,6
564,1
565,3
566,7
567,5
568,1
569,2
570,4
571,3
572,6
573,5
574,5
575,2
576,5
577,5
578,2
579,5
580,4
581,5
582,1
583,4
584,5
585,9
586,1
587,4
588,4
589,7
590,2
591,8
592,7
593,4
594,4
595,3
596,6
597,4
598,5
599,0
600,3
601,3
602,1
603,7
604,1
605,6
606,5
607,6
608,5
609,5
610,5
611,7
612,3
613,3
614,3
615,3
616,5
617,5
618,2
619,0
620,5
621,7
622,6
623,8
624,5
625,0
626,8
627,4
628,4
629,5
630,3
631,6
632,1
633,7
634,6
635,1
636,4
637,6
638,5
639,8
640,3
641,3
642,7
643,8
644,4
645,7
646,5
647,6
648,7
649,1
650,8
651,6
652,8
653,2
654,2
655,8
656,3
657,5
658,3
659,4
660,5
661,3
662,3
663,4
664,0
665,4
666,4
667,1
668,4
669,5
670,5
671,4
672,7
673,5
674,5
675,5
676,6
677,6
678,4
679,6
680,0
681,6
682,9
683,7
684,4
685,2
686,4
687,5
688,6
689,7
690,7
691,3
692,6
693,1
694,1
695,6
696,4
697,3
698,8
699,8
700,7
701,4
702,2
703,5
704,2
705,5
706,2
707,6
708,5
709,6
710,5
711,4
712,5
713,1
714,6
715,5
716,6
717,3
718,4
719,6
720,4
721,7
722,3
723,3
724,1
725,1
726,2
727,6
728,4
729,6
730,5
731,8
732,1
733,3
734,4
735,6
736,7
737,1
738,5
739,1
740,5
741,4
742,4
743,2
744,5
745,4
746,8
747,4
748,6
749,7
750,5
751,5
752,8
753,4
754,3
755,5
756,3
757,6
758,1
759,1
760,5
761,5
762,1
763,5
764,0
765,5
766,0
767,2
768,5
769,1
770,9
771,5
772,5
773,0
774,1
775,5
776,3
777,4
778,4
779,4
780,2
781,1
782,6
783,5
784,5
785,4
786,5
787,4
788,5
789,6
790,5
791,4
792,3
793,3
794,0
795,5
796,5
797,1
798,6
799,8
800,8
801,1
802,1
803,3
804,5
805,1
806,6
807,7
808,5
809,6
810,1
811,6
812,6
813,5
814,5
815,4
816,4
817,1
818,6
819,7
820,5
821,3
822,0
823,5
824,0
825,1
826,8
827,0
828,4
829,5
830,4
831,6
832,3
833,5
834,8
835,4
836,8
837,6
838,1
839,5
840,5
841,2
842,8
843,1
844,7
845,6
846,5
847,6
848,4
849,5
850,5
851,7
852,7
853,6
854,6
855,2
856,7
857,0
858,4
859,6
860,4
861,0
862,6
863,1
864,4
865,4
866,4
867,5
868,9
869,2
870,4
871,5
872,5
873,5
874,3
875,3
876,6
877,1
878,1
879,0
880,1
881,4
882,5
883,2
884,3
885,1
886,5
887,1
888,5
889,5
890,7
891,1
892,6
893,5
894,0
895,5
896,4
897,7
898,5
899,2
900,1
901,4
902,4
903,4
904,8
905,7
906,5
907,7
908,3
909,4
910,8
911,4
912,0
913,6
914,5
915,2
916,4
917,5
918,5
919,1
920,5
921,6
922,4
923,5
924,8
925,5
926,6
927,8
928,5
929,6
930,2
931,3
932,4
933,1
934,4
935,5
936,3
937,7
938,5
939,7
940,4
941,6
942,5
943,6
944,1
945,1
946,9
947,4
948,3
949,8
950,2
951,5
952,6
953,5
954,4
955,3
956,2
957,6
958,3
959,3
960,4
961,9
962,7
963,4
964,0
965,5
966,4
967,1
968,7
969,8
970,4
971,3
972,4
973,5
974,6
975,5
976,2
977,6
978,2
979,7
980,5
981,4
982,8
983,6
984,6
985,7
986,5
987,1
988,4
989,5
990,5
991,1
992,7
993,3
994,7
995,7
996,3
997,5
998,4
999,2
1000,8
1001,1
1002,8
1003,0
1004,5
1005,1
1006,3
1007,5
1008,4
1009,3
1010,7
1011,4
1012,6
1013,4
1014,7
1015,3
1016,8
1017,4
1018,3
1019,6
1020,5
1021,5
1022,7
1023,8
1024,6
1025,2
1026,6
1027,1
1028,5
1029,5
1030,1
1031,9
1032,1
1033,7
1034,8
1035,4
1036,5
1037,3
1038,4
1039,2
1040,1
1041,1
1042,6
1043,1
1044,9
1045,4
1046,2
1047,6
1048,5
1049,3
1050,5
1051,5
1052,6
1053,3
1054,6
1055,8
1056,1
1057,1
1058,3
1059,4
1060,4
1061,2
1062,0
1063,5
1064,0
1065,8
1066,5
1067,8
1068,0
1069,4
1070,8
1071,4
1072,6
1073,7
1074,5
1075,9
1076,4
1077,6
1078,1
1079,3
1080,9
1081,4
1082,1
1083,3
1084,4
1085,7
1086,8
1087,5
1088,6
1089,3
1090,1
1091,3
1092,3
1093,2
1094,1
1095,6
1096,6
1097,5
1098,3
1099,4
1100,4
1101,4
1102,3
1103,7
1104,1
1105,8
1106,3
1107,2
1108,4
1109,5
1110,6
1111,6
1112,4
1113,3
1114,1
1115,0
1116,5
1117,3
1118,5
1119,4
1120,8
1121,6
1122,4
1123,3
1124,1
1125,5
1126,4
1127,5
1128,5
1129,1
1130,2
1131,1
1132,4
1133,9
1134,1
1135,3
1136,5
1137,7
1138,6
1139,6
1140,8
1141,3
1142,1
1143,2
1144,1
1145,4
1146,8
1147,5
1148,5
1149,6
1150,3
1151,6
1152,6
1153,5
1154,4
1155,5
1156,4
1157,5
1158,1
1159,7
1160,2
1161,9
1162,1
1163,5
1164,0
1165,6
1166,4
1167,4
1168,3
1169,4
1170,4
1171,6
1172,3
1173,7
1174,1
1175,7
1176,4
1177,3
1178,8
1179,4
1180,4
1181,4
1182,5
1183,8
1184,7
1185,3
1186,8
1187,0
1188,3
1189,2
1190,6
1191,6
1192,3
1193,3
1194,7
1195,8
1196,6
1197,3
1198,4
1199,5
1200,5
1201,5
1202,8
1203,3
1204,1
1205,1
1206,8
1207,9
1208,6
1209,4
1210,2
1211,4
1212,5
1213,7
1214,4
1215,4
1216,6
1217,4
1218,8
1219,7
