,Label
1,2
2,0
3,6
4,5
5,3
6,7
7,0
8,2
9,0
10,3
11,6
12,6
13,5
14,0
15,6
16,3
17,3
18,1
19,7
20,0
21,8
22,1
23,2
24,6
25,8
26,5
27,4
28,5
29,5
30,7
31,7
32,5
33,3
34,2
35,4
36,4
37,8
38,6
39,2
40,5
41,6
42,6
43,4
44,8
45,7
46,5
47,6
48,3
49,7
50,3
51,6
52,6
53,6
54,4
55,9
56,4
57,1
58,4
59,5
60,2
61,6
62,1
63,8
64,1
65,0
66,0
67,1
68,7
69,0
70,1
71,5
72,5
73,5
74,6
75,5
76,5
77,5
78,7
79,2
80,3
81,5
82,7
83,1
84,1
85,8
86,3
87,5
88,4
89,6
90,7
91,2
92,2
93,7
94,6
95,4
96,5
97,5
98,7
99,7
100,4
101,0
102,6
103,2
104,0
105,7
106,4
107,0
108,4
109,0
110,5
111,3
112,0
113,5
114,4
115,1
116,6
117,2
118,1
119,5
120,5
121,3
122,7
123,3
124,5
125,5
126,3
127,7
128,8
129,5
130,5
131,5
132,4
133,6
134,2
135,0
136,0
137,3
138,1
139,4
140,4
141,4
142,3
143,4
144,5
145,5
146,7
147,7
148,6
149,2
150,7
151,5
152,3
153,5
154,7
155,4
156,3
157,5
158,3
159,5
160,6
161,3
162,2
163,3
164,4
165,2
166,4
167,4
168,5
169,5
170,1
171,2
172,8
173,6
174,7
175,1
176,3
177,7
178,4
179,1
180,2
181,5
182,6
183,7
184,4
185,4
186,7
187,3
188,1
189,5
190,0
191,5
192,1
193,5
194,5
195,5
196,0
197,7
198,7
199,4
200,8
201,1
202,8
203,0
204,7
205,9
206,0
207,6
208,5
209,5
210,3
211,1
212,8
213,2
214,6
215,8
216,3
217,2
218,7
219,3
220,5
221,3
222,2
223,1
224,1
225,2
226,6
227,5
228,6
229,1
230,0
231,1
232,6
233,9
234,2
235,8
236,3
237,3
238,3
239,6
240,7
241,6
242,6
243,2
244,4
245,6
246,4
247,6
248,8
249,4
250,7
251,8
252,4
253,2
254,5
255,8
256,6
257,4
258,1
259,5
260,4
261,3
262,4
263,5
264,5
265,6
266,0
267,6
268,6
269,3
270,1
271,6
272,0
273,5
274,2
275,7
276,6
277,1
278,5
279,7
280,4
281,0
282,7
283,2
284,2
285,6
286,3
287,8
288,5
289,5
290,9
291,6
292,8
293,7
294,9
295,7
296,5
297,4
298,2
299,3
300,2
301,6
302,9
303,8
304,2
305,5
306,4
307,5
308,2
309,6
310,4
311,7
312,5
313,8
314,3
315,0
316,4
317,8
318,4
319,1
320,6
321,5
322,1
323,2
324,6
325,8
326,5
327,6
328,1
329,4
330,7
331,6
332,5
333,1
334,3
335,2
336,6
337,1
338,5
339,5
340,4
341,5
342,4
343,1
344,6
345,4
346,0
347,6
348,5
349,3
350,4
351,6
352,7
353,6
354,2
355,5
356,5
357,5
358,9
359,1
360,5
361,4
362,6
363,5
364,6
365,7
366,5
367,3
368,5
369,1
370,5
371,4
372,5
373,5
374,8
375,7
376,5
377,6
378,5
379,4
380,6
381,6
382,5
383,5
384,6
385,3
386,6
387,2
388,1
389,3
390,5
391,1
392,8
393,7
394,5
395,5
396,2
397,1
398,1
399,8
400,2
401,8
402,7
403,6
404,1
405,1
406,1
407,5
408,3
409,5
410,5
411,5
412,3
413,6
414,1
415,2
416,6
417,1
418,1
419,3
420,5
421,7
422,5
423,6
424,6
425,5
426,1
427,6
428,6
429,4
430,8
431,3
432,8
433,5
434,4
435,4
436,2
437,5
438,8
439,4
440,1
441,6
442,5
443,7
444,5
445,5
446,4
447,1
448,5
449,2
450,7
451,8
452,7
453,5
454,9
455,4
456,8
457,4
458,3
459,5
460,6
461,4
462,7
463,4
464,1
465,5
466,1
467,7
468,6
469,5
470,1
471,1
472,4
473,8
474,6
475,4
476,2
477,2
478,3
479,1
480,1
481,4
482,7
483,2
484,3
485,7
486,8
487,3
488,6
489,3
490,8
491,4
492,5
493,2
494,4
495,5
496,6
497,4
498,3
499,4
500,1
501,5
502,6
503,6
504,4
505,2
506,6
507,4
508,3
509,3
510,5
511,7
512,6
513,7
514,5
515,6
516,4
517,2
518,7
519,5
520,3
521,5
522,8
523,0
524,6
525,6
526,1
527,1
528,1
529,1
530,7
531,0
532,6
533,3
534,8
535,5
536,5
537,5
538,6
539,5
540,3
541,2
542,1
543,8
544,4
545,0
546,3
547,0
548,7
549,4
550,1
551,2
552,3
553,0
554,6
555,3
556,0
557,6
558,5
559,6
560,2
561,1
562,3
563,5
564,1
565,3
566,6
567,5
568,2
569,2
570,4
571,3
572,7
573,5
574,4
575,1
576,5
577,4
578,2
579,5
580,3
581,5
582,1
583,5
584,6
585,9
586,1
587,5
588,4
589,7
590,2
591,8
592,7
593,3
594,3
595,4
596,6
597,4
598,6
599,0
600,3
601,2
602,1
603,7
604,1
605,5
606,5
607,6
608,5
609,5
610,6
611,7
612,1
613,4
614,4
615,3
616,5
617,6
618,2
619,0
620,5
621,7
622,6
623,7
624,4
625,1
626,8
627,4
628,3
629,5
630,3
631,5
632,1
633,7
634,6
635,1
636,4
637,6
638,5
639,8
640,3
641,2
642,6
643,8
644,4
645,7
646,6
647,5
648,7
649,1
650,7
651,6
652,8
653,2
654,1
655,7
656,3
657,5
658,3
659,5
660,6
661,3
662,3
663,4
664,0
665,4
666,3
667,1
668,4
669,5
670,6
671,4
672,8
673,4
674,5
675,4
676,6
677,7
678,5
679,6
680,0
681,7
682,9
683,6
684,5
685,1
686,4
687,5
688,6
689,7
690,8
691,4
692,7
693,0
694,1
695,5
696,4
697,3
698,8
699,8
700,6
701,4
702,1
703,8
704,1
705,5
706,2
707,6
708,5
709,6
710,5
711,4
712,6
713,1
714,5
715,6
716,6
717,3
718,4
719,7
720,4
721,8
722,3
723,3
724,0
725,1
726,2
727,6
728,5
729,6
730,5
731,8
732,1
733,2
734,4
735,6
736,8
737,1
738,5
739,1
740,5
741,3
742,3
743,2
744,5
745,4
746,8
747,4
748,7
749,7
750,5
751,4
752,8
753,4
754,3
755,5
756,2
757,7
758,1
759,1
760,5
761,6
762,2
763,5
764,0
765,4
766,0
767,2
768,5
769,1
770,9
771,5
772,5
773,0
774,1
775,5
776,3
777,4
778,4
779,3
780,1
781,1
782,6
783,6
784,5
785,4
786,5
787,5
788,6
789,6
790,5
791,3
792,2
793,3
794,0
795,4
796,5
797,1
798,7
799,8
800,7
801,1
802,2
803,3
804,5
805,2
806,6
807,7
808,7
809,6
810,1
811,7
812,7
813,5
814,5
815,4
816,4
817,1
818,8
819,7
820,5
821,3
822,0
823,5
824,0
825,1
826,8
827,1
828,4
829,4
830,5
831,6
832,2
833,5
834,8
835,5
836,8
837,6
838,1
839,5
840,5
841,1
842,7
843,0
844,7
845,7
846,5
847,7
848,3
849,3
850,5
851,7
852,6
853,5
854,5
855,2
856,7
857,0
858,5
859,6
860,4
861,0
862,6
863,0
864,3
865,4
866,4
867,6
868,8
869,3
870,4
871,5
872,4
873,5
874,3
875,4
876,5
877,2
878,1
879,0
880,1
881,5
882,5
883,2
884,3
885,1
886,6
887,1
888,5
889,5
890,7
891,1
892,7
893,5
894,1
895,5
896,3
897,8
898,5
899,2
900,1
901,4
902,4
903,3
904,7
905,7
906,6
907,6
908,2
909,3
910,8
911,3
912,1
913,6
914,5
915,2
916,5
917,5
918,5
919,1
920,5
921,5
922,3
923,5
924,8
925,5
926,7
927,8
928,5
929,5
930,3
931,3
932,3
933,1
934,4
935,5
936,2
937,7
938,5
939,6
940,4
941,7
942,5
943,6
944,1
945,1
946,9
947,4
948,3
949,8
950,2
951,5
952,6
953,5
954,4
955,3
956,1
957,7
958,2
959,3
960,3
961,9
962,8
963,4
964,1
965,5
966,4
967,1
968,7
969,9
970,4
971,3
972,3
973,5
974,6
975,6
976,0
977,6
978,1
979,7
980,5
981,4
982,8
983,7
984,6
985,7
986,5
987,0
988,4
989,4
990,4
991,1
992,7
993,3
994,7
995,6
996,2
997,5
998,2
999,2
1000,9
1001,0
1002,9
1003,0
1004,7
1005,1
1006,3
1007,5
1008,5
1009,2
1010,8
1011,3
1012,6
1013,3
1014,6
1015,3
1016,8
1017,4
1018,3
1019,6
1020,4
1021,6
1022,7
1023,7
1024,7
1025,2
1026,6
1027,1
1028,5
1029,5
1030,1
1031,8
1032,1
1033,5
1034,7
1035,3
1036,6
1037,3
1038,3
1039,2
1040,1
1041,2
1042,6
1043,1
1044,9
1045,5
1046,2
1047,6
1048,4
1049,3
1050,5
1051,4
1052,6
1053,3
1054,6
1055,9
1056,1
1057,1
1058,4
1059,4
1060,4
1061,2
1062,1
1063,6
1064,0
1065,8
1066,4
1067,8
1068,0
1069,4
1070,9
1071,4
1072,4
1073,8
1074,5
1075,8
1076,3
1077,7
1078,1
1079,4
1080,8
1081,4
1082,1
1083,2
1084,3
1085,8
1086,7
1087,6
1088,6
1089,2
1090,1
1091,3
1092,3
1093,4
1094,2
1095,6
1096,6
1097,6
1098,3
1099,5
1100,3
1101,4
1102,2
1103,8
1104,1
1105,8
1106,4
1107,0
1108,4
1109,5
1110,6
1111,6
1112,4
1113,3
1114,1
1115,0
1116,5
1117,3
1118,5
1119,3
1120,7
1121,6
1122,4
1123,3
1124,0
1125,5
1126,4
1127,5
1128,5
1129,1
1130,2
1131,1
1132,3
1133,9
1134,1
1135,3
1136,5
1137,6
1138,6
1139,5
1140,8
1141,4
1142,1
1143,2
1144,1
1145,3
1146,7
1147,6
1148,4
1149,6
1150,3
1151,6
1152,7
1153,6
1154,3
1155,5
1156,4
1157,5
1158,1
1159,8
1160,2
1161,9
1162,1
1163,5
1164,0
1165,6
1166,5
1167,5
1168,2
1169,4
1170,3
1171,6
1172,3
1173,8
1174,1
1175,8
1176,4
1177,3
1178,8
1179,3
1180,3
1181,3
1182,5
1183,8
1184,7
1185,1
1186,7
1187,0
1188,3
1189,1
1190,7
1191,7
1192,3
1193,3
1194,7
1195,8
1196,5
1197,4
1198,3
1199,6
1200,5
1201,5
1202,6
1203,4
1204,3
1205,1
1206,8
1207,9
1208,6
1209,4
1210,3
1211,4
1212,6
1213,8
1214,4
1215,4
1216,7
1217,4
1218,8
1219,7
